series_name,include_main_2007,cm2007_p,cm2007_bic,cm2007_Tlag,cm2007_found,cm2007_break_date,cm2007_nobs_raw,cm2007_nobs_reg,cm2007_ssr_nobreak,cm2007_ssr_best,cm2007_ssr_gain_pct,cm2007_supw_found,cm2007_supw_stat,cm2007_supw_break_date,cm2007_supw_hac_lag,cm2007_supw_m,cm2007_supw_ssr_nobreak,cm2007_supw_ssr_best,cm2007_supw_ssr_gain_pct,cm2007_hansen_pval,cm2007_hansen_sig5
RPI,1,1,-10.6655231591458,585,1,01-Dec-1992,586,585,0.0133572683008356,0.0126471622125896,5.3162523373254,1,15.4395468951844,01-Nov-1972,5,2,0.0133572683008356,0.0129547403739064,3.01354976079951,0.0093418367237128,1
W875RX1,1,0,-10.5489924227941,586,1,01-Dec-1972,586,586,0.0151986509926154,0.0149460762166402,1.66182364538734,1,11.2200756201353,01-Aug-1969,5,1,0.0151986509926154,0.0149924027153181,1.3570169970839,0.0150729061608512,1
DPCERA3M086SBEA,1,1,-10.3953242668117,585,1,01-Jan-1984,586,585,0.0175010271069992,0.0170488326717999,2.58381655222072,1,9.9217013057043,01-Feb-1973,5,2,0.0175010271069992,0.0171938135714068,1.75540288986532,0.0976966669618676,0
CMRMTSPLx,1,6,-8.99027865169771,580,1,01-Nov-1967,586,580,0.0669341676564126,0.0635817016854646,5.00860186707171,1,25.0609425102177,01-Oct-1968,5,7,0.0669341676564126,0.0636046858536616,4.97426339839156,0.0168498553295005,1
RETAILx,1,2,-8.81216457683406,584,1,01-Sep-1986,586,584,0.0841641947985917,0.0798890745421844,5.0794999781532,1,18.914564565937,01-Sep-1985,5,3,0.0841641947985917,0.0799490676498284,5.00821894494473,0.00635154909429192,1
INDPRO,1,12,-9.86577015314883,574,1,01-Jan-1982,586,574,0.0258094225496296,0.0245538638949094,4.86472974087636,1,60.3559319685111,01-Mar-1993,5,13,0.0258094225496296,0.0248481680304991,3.72443249081641,1.77294133796302e-06,1
IPFPNSS,1,3,-9.89701107754812,583,1,01-Jan-1982,586,583,0.0280850905843423,0.0267860317364182,4.62543940893802,1,40.6291806745026,01-Feb-1999,5,4,0.0280850905843423,0.0275053150214288,2.06435354435591,1.05449486076381e-06,1
IPFINAL,1,3,-9.6869812245971,583,1,01-Jan-1982,586,583,0.0346489944250949,0.0326849044043569,5.66853397429481,1,41.080675265106,01-Feb-1999,5,4,0.0346489944250949,0.0337794379403877,2.50961535575581,8.48641998119071e-07,1
IPCONGD,1,0,-9.44422290273179,586,1,01-Mar-1973,586,586,0.0458775638930656,0.045047844659541,1.80855120262819,1,10.8395998569609,01-Mar-1973,5,1,0.0458775638930656,0.045047844659541,1.80855120262819,0.018010129481559,1
IPDCONGD,1,11,-7.5953814843776,575,1,01-Jan-1971,586,575,0.253187645445404,0.242982749579077,4.03056628153181,1,35.6970537848891,01-May-2000,5,12,0.253187645445404,0.249430433935635,1.48396320964177,0.00984707566318876,1
IPNCONGD,1,1,-9.87857032351336,585,1,01-Mar-1973,586,585,0.0293418115550307,0.0284083772030193,3.1812430880785,1,26.9840609804476,01-Mar-1969,5,2,0.0293418115550307,0.0285256800503031,2.78146256647091,4.3082076628731e-05,1
IPBUSEQ,1,3,-9.0938519127777,583,1,01-Jan-1982,586,583,0.0627022928852772,0.061347116855772,2.1612862419317,1,10.6368162801712,01-May-2000,5,4,0.0627022928852772,0.0621227597300934,0.924261503872182,0.318677303608323,0
IPMAT,1,12,-9.40090847405228,574,1,01-Sep-1969,586,574,0.0410832838360216,0.0390403813822931,4.97258802846065,1,28.3246960181516,01-Dec-1967,5,13,0.0410832838360216,0.039077948871204,4.8811457546131,0.127828702207196,0
IPDMAT,1,12,-8.60890805044694,574,1,01-Feb-1968,586,574,0.0907040258936953,0.0857448506643961,5.46742570733441,1,43.4352947942373,01-Sep-1992,5,13,0.0907040258936953,0.0882332459846114,2.72400247369349,0.0012016090756215,1
IPNMAT,1,2,-9.3047968091891,584,1,01-Dec-1981,586,584,0.0514256645691767,0.049266173705621,4.1992473634461,1,17.8013953314015,01-Oct-1983,5,3,0.0514256645691767,0.0497181238953318,3.32040565377233,0.0103156547000807,1
