series_name,include_main_full_ext,cmfull_p,cmfull_bic,cmfull_Tlag,cmfull_found,cmfull_break_date,cmfull_nobs_raw,cmfull_nobs_reg,cmfull_ssr_nobreak,cmfull_ssr_best,cmfull_ssr_gain_pct,cmfull_supw_found,cmfull_supw_stat,cmfull_supw_break_date,cmfull_supw_hac_lag,cmfull_supw_m,cmfull_supw_ssr_nobreak,cmfull_supw_ssr_best,cmfull_supw_ssr_gain_pct,cmfull_hansen_pval,cmfull_hansen_sig5
RPI,1,12,-9.17200388538635,790,1,01-Feb-2015,802,790,0.0735519082652079,0.0656096190107291,10.7982096478599,1,73.646824355782,01-Mar-2003,6,13,0.0735519082652079,0.068197567063128,7.27967680019073,6.48069142794583e-09,1
W875RX1,1,0,-10.1876498889608,802,1,01-Dec-1972,802,802,0.0299304380396804,0.0295520903572403,1.26409002747814,1,15.7379417285797,01-Sep-1969,6,1,0.0299304380396804,0.0296241782482177,1.02323858761019,0.00176384341254998,1
DPCERA3M086SBEA,1,2,-9.69325401626674,800,1,01-Jun-2005,802,800,0.0481367393017842,0.045426153781642,5.63101190371191,1,35.0615464933842,01-Dec-2015,6,3,0.0481367393017842,0.0456267287525917,5.21433438492051,3.02387018513706e-06,1
CMRMTSPLx,1,6,-8.79376451114217,795,1,01-Nov-2013,801,795,0.113696187635551,0.104802695020536,7.82215551810986,1,29.1798514744947,01-Dec-2013,6,7,0.113696187635551,0.104809719533045,7.81597719968545,0.00362598632091482,1
RETAILx,1,2,-8.35008507217207,800,1,01-Mar-2006,802,800,0.184419792599218,0.178947935471796,2.96706608889492,1,8.70189985941346,01-Sep-1985,6,3,0.184419792599218,0.182780878853241,0.888686470621148,0.331931731766754,0
INDPRO,1,10,-9.3252850316481,793,1,01-Dec-2015,803,793,0.0644371689859033,0.0589345111845485,8.53957100840135,1,83.6178191029824,01-Dec-2015,6,11,0.0644371689859033,0.0589345111845485,8.53957100840135,1.64865898710786e-11,1
IPFPNSS,1,1,-9.33780143250157,802,1,01-Apr-2000,803,802,0.0694346743422373,0.0682994971994398,1.63488509674914,1,15.5711950478997,01-Mar-1979,6,2,0.0694346743422373,0.0685071073867291,1.33588436079696,0.00881011385853192,1
IPFINAL,1,2,-9.12594635355395,801,1,01-Aug-2015,803,801,0.0849981247763428,0.0791084594197369,6.92917093418649,1,20.641876099308,01-Dec-1977,6,3,0.0849981247763428,0.0831775095513225,2.14194751920811,0.00294630829841458,1
IPCONGD,1,2,-9.11113888880553,801,1,01-Aug-2015,803,801,0.0862660960647572,0.081023278294333,6.07749511058033,1,19.0725264633747,01-Dec-1977,6,3,0.0862660960647572,0.0844588606237064,2.0949544763149,0.00592516036782642,1
IPDCONGD,1,10,-6.86423316310726,793,1,01-Dec-2015,803,793,0.755018682008975,0.669316592190079,11.3509893014644,1,36.0133588199071,01-Oct-2015,6,11,0.755018682008975,0.669464517987548,11.3313969654077,0.00485138067384372,1
IPNCONGD,1,1,-9.78230099617111,802,1,01-May-1973,803,802,0.0445176976166407,0.0429505439098711,3.52029370491033,1,45.3393389769859,01-May-1973,6,2,0.0445176976166407,0.0429505439098711,3.52029370491033,5.13354014852752e-09,1
