series_name,include_main_hist,cm_p_hist,cm_bic_hist,cm_Tlag_hist,cm_found_hist,cm_break_date_hist,cm_nobs_raw_hist,cm_nobs_reg_hist,cm_ssr_nobreak_hist,cm_ssr_best_hist,cm_ssr_gain_pct_hist,cm_supw_found_hist,cm_supw_stat_hist,cm_supw_break_date_hist,cm_supw_hac_lag_hist,cm_supw_m_hist,cm_supw_ssr_nobreak_hist,cm_supw_ssr_best_hist,cm_supw_ssr_gain_pct_hist,cm_hansen_pval_hist,cm_hansen_sig5_hist
RPI,1,0,-10.7005849143828,490,1,01-Dec-1972,490,490,0.0109018675786427,0.0106647140007741,2.17534817917981,1,12.2034636119402,01-Oct-1972,5,1,0.0109018675786427,0.0106857534381852,1.98235888391221,0.00949244087441992,1
W875RX1,1,0,-10.6329750171128,490,1,01-Dec-1972,490,490,0.0116644296403,0.0114710091841677,1.65820757719715,1,8.18881507799478,01-Aug-1969,5,1,0.0116644296403,0.0115058175209177,1.35979318555147,0.0611961935116141,0
DPCERA3M086SBEA,1,1,-10.3092702959368,489,1,01-Jan-1984,490,489,0.015887312529494,0.0155481041885372,2.13508949564074,1,6.81530689838492,01-Feb-1973,5,2,0.015887312529494,0.015663235070223,1.41041764524411,0.313720149679798,0
CMRMTSPLx,1,6,-8.88469356536801,484,1,01-Oct-1965,490,484,0.0612973309635323,0.0575646801211593,6.08941822376185,1,29.0397768482507,01-Oct-1965,5,7,0.0612973309635323,0.0575646801211593,6.08941822376185,0.00382735283404001,1
RETAILx,1,2,-8.78292914842558,488,1,01-Sep-1986,490,488,0.0720302607382315,0.0694202341556932,3.62351400062744,1,8.51643796179526,01-May-1967,5,3,0.0720302607382315,0.0699923011062139,2.82931036363157,0.351019020318993,0
INDPRO,1,12,-9.76151149815228,478,1,01-Jan-1982,490,478,0.0232908773256234,0.0223106758394985,4.20852109785723,1,61.7781585127002,01-Aug-1993,5,13,0.0232908773256234,0.0225015417046562,3.38903343971009,9.88435635118634e-07,1
IPFPNSS,1,3,-9.79065042423044,487,1,01-Jan-1982,490,487,0.0259077291361912,0.0248291696015925,4.16308017166968,1,21.8316190498769,01-Jun-1993,5,4,0.0259077291361912,0.0253521172255681,2.14457974183077,0.00547601912184104,1
IPFINAL,1,0,-9.58866566155332,490,1,01-Oct-1966,490,490,0.033143723583609,0.0326291357721763,1.55259504905855,1,5.82839646993225,01-Oct-1966,5,1,0.033143723583609,0.0326291357721763,1.55259504905855,0.175124731725472,0
IPCONGD,1,0,-9.34729024064925,490,1,01-Mar-1973,490,490,0.0421919222052517,0.0415729147191989,1.46712321624384,1,7.51678456469568,01-Mar-1973,5,1,0.0421919222052517,0.0415729147191989,1.46712321624384,0.0829330246534909,0
IPDCONGD,1,11,-7.46399834625131,479,1,01-Mar-1991,490,479,0.235295671852373,0.22252598758158,5.4270799672017,1,44.7772092256229,01-Mar-1991,5,12,0.235295671852373,0.22252598758158,5.4270799672017,0.000431624381490581,1
IPNCONGD,1,1,-9.85269757207466,489,1,01-Mar-1973,490,489,0.0250805729508393,0.0243472113679809,2.92402244675941,1,20.5756064476076,01-Mar-1969,5,2,0.0250805729508393,0.0244159904864796,2.64978980210063,0.000897293625761963,1
IPBUSEQ,1,3,-9.06569494474995,487,1,01-Jan-1982,490,487,0.0534901126163881,0.0523887116482692,2.05907393767845,1,13.6389044855955,01-Aug-1993,5,4,0.0534901126163881,0.0526944122049943,1.48756540690113,0.125641371447822,0
IPMAT,1,12,-9.31867561998484,478,1,01-Sep-1969,490,478,0.0362666153576359,0.0340689903673899,6.05963630345582,1,42.1684888560967,01-Aug-1993,5,13,0.0362666153576359,0.0355656133961003,1.93291255503935,0.00187674590032139,1
IPDMAT,1,12,-8.4495210500109,478,1,01-Feb-1968,490,478,0.0864920239447905,0.0814108296570707,5.87475475306634,1,80.2017079032318,01-Aug-1993,5,13,0.0864920239447905,0.0834354468186926,3.53394103489709,3.67016528279862e-10,1
IPNMAT,1,2,-9.39127988461547,488,1,01-Mar-1973,490,488,0.0392023064298167,0.0372633933013618,4.94591595503719,1,18.4427468047902,01-Oct-1983,5,3,0.0392023064298167,0.0384209664068665,1.99309707542087,0.00780908537638325,1
IPMANSICS,1,12,-9.51852534430965,478,1,01-Jan-1982,490,478,0.0296970557131411,0.0281397055833167,5.24412300285783,1,54.2436700247824,01-Aug-1993,5,13,0.0296970557131411,0.0286946277375519,3.37551299789477,2.06683828739562e-05,1
IPB51222S,1,5,-7.19803268963396,485,1,01-Mar-1978,490,485,0.33608582051617,0.317718157384218,5.46517050429049,1,42.2715518183988,01-Aug-1969,5,6,0.33608582051617,0.326397160698587,2.88279338970722,5.89515675641916e-06,1
IPFUELS,1,2,-7.91473573269877,488,1,01-Nov-1972,490,488,0.171619485844173,0.164026709318596,4.42419256078564,1,22.5721771918104,01-Nov-1972,5,3,0.171619485844173,0.164026709318596,4.42419256078564,0.00122489042009644,1
CUMFNS,1,12,-0.751152536626571,478,1,01-Jan-1982,490,478,190.693120192799,181.959783997306,4.57978567169258,1,33.7114273511606,01-Mar-1993,5,13,190.693120192799,185.374247716251,2.78923144745359,0.0293074147574425,1
