series_name,include_main_mod,cmmod_p,cmmod_bic,cmmod_Tlag,cmmod_found,cmmod_break_date,cmmod_nobs_raw,cmmod_nobs_reg,cmmod_ssr_nobreak,cmmod_ssr_best,cmmod_ssr_gain_pct,cmmod_supw_found,cmmod_supw_stat,cmmod_supw_break_date,cmmod_supw_hac_lag,cmmod_supw_m,cmmod_supw_ssr_nobreak,cmmod_supw_ssr_best,cmmod_supw_ssr_gain_pct,cmmod_hansen_pval,cmmod_hansen_sig5
RPI,1,1,-8.40856642297082,323,1,01-Apr-2021,324,323,0.0694818968907004,0.054334944501001,21.7998544477371,1,53.6745512945549,01-Nov-2003,5,2,0.0694818968907004,0.0689565766265473,0.75605342925431,7.76406716695988e-11,1
W875RX1,1,0,-9.7722321109792,324,1,01-Apr-2020,324,324,0.0181455414939924,0.0180526716951488,0.511805056213796,1,1.71063272452348,01-Feb-2010,5,1,0.0181455414939924,0.0180638614455,0.450138390852193,0.860234063010448,0
DPCERA3M086SBEA,1,2,-9.20878784847691,322,1,01-Apr-2020,324,322,0.0305608203047396,0.0207445505292738,32.1204394305588,1,55.875464999087,01-Feb-2020,5,3,0.0305608203047396,0.0295353986963653,3.35534713449846,7.21772641654184e-11,1
CMRMTSPLx,1,0,-8.75909019163569,323,1,01-Apr-2020,323,323,0.049820669198797,0.0491571789902678,1.33175691775987,1,1.39186275403805,01-Jun-2009,5,1,0.049820669198797,0.0496561815375512,0.330159477765045,0.934041088057558,0
RETAILx,1,2,-7.929833811031,322,1,01-Apr-2020,324,322,0.109801352166902,0.0948061105558804,13.6567003184335,1,13.0909360300913,01-Jun-2005,5,3,0.109801352166902,0.105989695857102,3.47141108426979,0.0715037970933197,0
INDPRO,1,2,-8.96738772454864,323,1,01-Apr-2020,325,323,0.039031049569248,0.0336571376614521,13.7682997692943,1,38.3600148354652,01-Sep-2019,5,3,0.039031049569248,0.0366976974550148,5.97819464243053,5.81718750392035e-07,1
IPFPNSS,1,2,-8.94494503685683,323,1,01-Apr-2020,325,323,0.0399169146395979,0.0335606044207273,15.9238515207411,1,65.9172903281084,01-Jun-2009,5,3,0.0399169146395979,0.0368259939503019,7.74338577318233,3.68594044175552e-13,1
IPFINAL,1,2,-8.72663721347218,323,1,01-Apr-2020,325,323,0.0496554415788357,0.0443590321475154,10.6663222859703,1,42.8798192457354,01-Sep-2019,5,3,0.0496554415788357,0.0458256171017793,7.71279915208469,5.90975226533175e-08,1
IPCONGD,1,3,-8.89351711368182,322,1,01-Mar-2020,325,322,0.0411430966028865,0.0357151028723606,13.1929635314448,1,29.7338048974664,01-Feb-2020,5,4,0.0411430966028865,0.0369108154983719,10.2867344803059,0.000173487951801388,1
IPDCONGD,1,2,-6.39705139895838,323,1,01-Mar-2020,325,323,0.510144387180113,0.459707368592823,9.8868124113032,1,41.4166869677541,01-Feb-2020,5,3,0.510144387180113,0.461920270993795,9.45303278800799,1.24295089332094e-07,1
IPNCONGD,1,1,-9.71804729685416,324,1,01-Mar-2020,325,324,0.0188171350954139,0.0183677400443234,2.38822248345361,1,9.7421630152497,01-Feb-2007,5,2,0.0188171350954139,0.0184241570814149,2.08840512653186,0.104944606390676,0
IPBUSEQ,1,0,-7.71468416152714,325,1,01-Apr-2020,325,325,0.142465507048481,0.140513430142343,1.37021019794905,1,1.85207040327798,01-Mar-2008,5,1,0.142465507048481,0.141851950164956,0.430670480340202,0.825642144130774,0
IPMAT,1,1,-8.75687923245442,324,1,01-Jan-2021,325,324,0.0492020830182184,0.0471139503425398,4.2439924238685,1,22.527941469443,01-Feb-2021,5,2,0.0492020830182184,0.047291122626731,3.88390140063762,0.000359557718313974,1
IPDMAT,1,1,-8.18992125669287,324,1,01-Apr-2020,325,324,0.086738160934166,0.0686308375210426,20.8758442859617,1,19.460969666146,01-Mar-2021,5,2,0.086738160934166,0.0852417394863064,1.7252169422814,0.0015047530346991,1
IPNMAT,1,0,-8.48500012681162,325,1,01-Dec-2008,325,325,0.0659425526976063,0.0656991558852146,0.369104322527208,1,1.19081143649784,01-Apr-2020,5,1,0.0659425526976063,0.0657404397062228,0.306498585686024,0.973518916762617,0
IPMANSICS,1,2,-8.66447053581848,323,1,01-Apr-2020,325,323,0.052840326618436,0.0420117977488617,20.4929256924696,1,38.4504622412957,01-Apr-2020,5,3,0.052840326618436,0.0420117977488617,20.4929256924696,5.55865251827825e-07,1
IPB51222S,1,2,-6.31410167959962,323,1,01-Dec-2015,325,323,0.554265335550281,0.542058690151503,2.20231080961604,1,7.80386191565292,01-Dec-2015,5,3,0.554265335550281,0.542058690151503,2.20231080961604,0.431190136433237,0
IPFUELS,1,0,-7.49790072166357,325,1,01-Apr-2020,325,325,0.176952857355122,0.175849038789981,0.623792450508879,1,1.64461624803657,01-Apr-2020,5,1,0.176952857355122,0.175849038789981,0.623792450508879,0.876138051925633,0
CUMFNS,1,2,-0.157087055998709,323,1,01-Apr-2020,325,323,261.622561922474,213.304283240868,18.4686971668462,1,37.5866975691375,01-Apr-2020,5,3,261.622561922474,213.304283240868,18.4686971668462,8.57592106218164e-07,1
HWI,1,1,11.395413438536,323,1,01-Nov-2019,324,323,27709637.2212161,26189172.7066791,5.48713251782633,1,10.7434225704506,01-Dec-2018,5,2,27709637.2212161,26291653.4631294,5.11729455989067,0.0700634400456535,0
HWIURATIO,1,0,-5.44539050782138,322,1,01-Apr-2020,322,322,1.3650999478576,1.35435716245468,0.78695962297666,1,2.24775876323825,01-Jul-2003,5,1,1.3650999478576,1.35954725205312,0.406761117615913,0.728488725761443,0
CLF16OV,1,0,-11.357082275568,323,1,01-Apr-2020,323,323,0.0037077968458779,0.00366194670631841,1.2365871558057,1,4.3676183978327,01-Jan-2021,5,1,0.0037077968458779,0.00368735783295624,0.551244142310154,0.325333793952585,0
CE16OV,1,0,-9.28162530441119,323,1,01-Apr-2020,323,323,0.0295444181022721,0.0290251754251415,1.75749840573312,1,4.53832932065584,01-Jul-2020,5,1,0.0295444181022721,0.0293812407799793,0.552311850339685,0.303164856863643,0
UNRATE,1,0,-0.897785217870509,323,1,01-Apr-2020,323,323,129.279876160991,127.180485074627,1.62391173994438,1,3.12740678752686,01-Jul-2020,5,1,129.279876160991,128.587615830116,0.535474159963498,0.531957249973782,0
UEMPMEAN,1,0,0.34449735989587,323,1,01-Jul-2011,323,323,447.762167182662,441.957478823348,1.29637758273269,1,4.75653235579188,01-Jul-2011,5,1,447.762167182662,441.957478823348,1.29637758273269,0.276794700785117,0
UEMPLT5,1,4,-4.13246915654822,319,1,01-Apr-2020,323,319,4.67560445386783,4.09039108222382,12.5163147870626,1,37.3909793978156,01-Jun-2020,5,5,4.67560445386783,4.39317806585293,6.04042516430719,1.7949456621591e-05,1
UEMP5TO14,1,3,-4.34296495791862,320,1,01-Feb-2020,323,320,3.86999039616589,3.3284034638332,13.9945291044974,1,96.3488749623234,01-Mar-2020,5,4,3.86999039616589,3.32875867439302,13.9853505142826,0,1
UEMP15OV,1,1,-5.19505718570786,322,1,01-Jul-2020,323,322,1.72224311886615,1.54187400607555,10.4729181852879,1,11.8448312101248,01-Mar-2010,5,2,1.72224311886615,1.69978471908289,1.30402029407118,0.0443705515157653,1
