series_name,include_main_full_ext,cvexpfull_found,cvexpfull_stat,cvexpfull_break_date,cvexpfull_hac_lag,cvexpfull_mu1,cvexpfull_mu2,cvexpfull_ratio,cvexpfull_pct_change,cvexpfull_nobs_exp,cvexpfull_pval,cvexpfull_sig5
RPI,1,1,9.42304905973667,01-Jan-1971,6,0.00294207252884875,0.00561837462595929,1.90966557447779,90.9665574477794,695,0.0347702777826012,1
W875RX1,1,1,11.1014688597305,01-Dec-1971,6,0.0027264268486533,0.0043039598003448,1.57860820746785,57.8608207467846,707,0.0159339750312157,1
DPCERA3M086SBEA,1,1,7.39840416319402,01-Mar-1987,6,0.00601305843345133,0.00401210350242805,0.667231750170307,-33.2768249829693,705,0.0874656373121862,0
CMRMTSPLx,1,1,15.2409129156261,01-Aug-1975,6,0.0132143786396283,0.00841466279310718,0.636780814488898,-36.3219185511102,700,0.00223849765206574,1
RETAILx,1,1,3.43232260950085,01-Oct-1987,6,0.0122183269705055,0.0094324029181232,0.771988091405035,-22.8011908594965,705,0.473311989545817,0
INDPRO,1,1,9.18896750110434,01-Sep-1983,6,0.00707117764245502,0.00538334307997916,0.761307854530174,-23.8692145469826,698,0.0387296029869713,1
IPFPNSS,1,1,3.7123686596524,01-Jan-1984,6,0.00718228567247365,0.00600896040504866,0.836636229616737,-16.3363770383263,707,0.424057281301765,0
IPFINAL,1,1,2.29534050752299,01-Oct-2014,6,0.00698241541311292,0.00916047662048925,1.31193520845035,31.1935208450351,706,0.717001338873224,0
IPCONGD,1,1,4.49361620472127,01-Jul-1975,6,0.00966184908552409,0.00762751446868144,0.789446657794459,-21.0553342205541,706,0.30883785368467,0
IPDCONGD,1,1,7.842066376239,01-Feb-2017,6,0.0175331782684698,0.0305293187448842,1.7412312974531,74.1231297453101,698,0.0716143949789226,0
IPNCONGD,1,1,1.45572196147094,01-Feb-2015,6,0.00680615283138283,0.00769099774638251,1.13000661855839,13.0006618558388,707,0.920024358653539,0
IPBUSEQ,1,1,3.61097840771094,01-Nov-2016,6,0.00974484940596805,0.0146466639477481,1.50301593565705,50.3015935657052,707,0.441384465018825,0
IPMAT,1,1,24.9398363818898,01-Apr-1983,6,0.00973791060402227,0.00609383878677752,0.625785041019009,-37.4214958980991,697,2.01324854214313e-05,1
IPDMAT,1,1,20.0748666416479,01-May-1983,6,0.0137704059673222,0.00857449088864919,0.622675243489324,-37.7324756510676,697,0.000216858131643627,1
IPNMAT,1,1,9.13523304801062,01-Jan-1969,6,0.011099916360414,0.00780940354673957,0.703555170432683,-29.6444829567317,705,0.0396988083583432,1
IPMANSICS,1,1,9.39109156127964,01-Sep-1983,6,0.00794965013367615,0.0060089772164943,0.75587945575607,-24.412054424393,698,0.0352865389234387,1
IPB51222S,1,1,146.857914028428,01-Jun-1971,6,0.0123404914489236,0.0339620906208495,2.75208574645637,175.208574645637,702,0,1
IPFUELS,1,1,4.04665923981214,01-Nov-1986,6,0.0182767761199161,0.0151648607388835,0.829733900518619,-17.0266099481381,706,0.370893772527203,0
CUMFNS,1,1,13.6445560879629,01-Sep-1983,6,0.65163953302224,0.467816688675781,0.717907163345497,-28.2092836654503,698,0.00479616111141723,1
HWI,1,1,67.2822788885149,01-Jul-1977,6,63.2355224393338,188.312639595398,2.97795657142011,197.795657142011,696,1.36557432028894e-14,1
HWIURATIO,1,1,18.5230849390217,01-Sep-2015,6,0.025603552794329,0.0791168233193132,3.09007206753108,209.007206753108,701,0.000460462611632795,1
CLF16OV,1,1,11.7676009090853,01-Jan-1978,6,0.0030500382481013,0.00220063359916603,0.721510164843331,-27.8489835156669,705,0.0116560399950343,1
CE16OV,1,1,1.37143884613202,01-Jan-2017,6,0.00255674811511611,0.00570689789902835,2.23209234624553,123.209234624553,706,0.93840462075818,0
UNRATE,1,1,1.36280663722743,01-Dec-2013,6,0.150797792288704,0.305990868213514,2.02914686992029,102.914686992029,706,0.940229527725575,0
UEMPMEAN,1,1,33.0704046465061,01-Apr-2007,6,0.475889665780629,1.2531914993939,2.63336565070859,163.336565070859,706,3.65090894960396e-07,1
UEMPLT5,1,1,6.74260369185737,01-Dec-2007,6,0.0403501244378576,0.0879601048152537,2.17992152541486,117.992152541486,702,0.11721599233586,0
UEMP5TO14,1,1,8.48805542709429,01-Jan-2017,6,0.0492022482714136,0.112108931574507,2.2785326994832,127.85326994832,702,0.0533997463339204,0
UEMP15OV,1,1,6.01958176134305,01-Jun-1971,6,0.0644143021994187,0.0491795547214538,0.763488123634406,-23.6511876365594,704,0.161139037077589,0
