series_name,include_main_hist,cvexp_found,cvexp_stat,cvexp_break_date,cvexp_hac_lag,cvexp_mu1,cvexp_mu2,cvexp_ratio,cvexp_pct_change,cvexp_nobs_exp,cvexp_pval,cvexp_sig5
RPI,1,1,6.1175597826298,01-Apr-1994,5,0.00368668907036425,0.00256757753265299,0.69644536972013,-30.355463027987,423,0.154385812489465,0
W875RX1,1,1,6.80065151753597,01-Nov-1971,5,0.00264935957107327,0.00393890487105444,1.48673849863979,48.6738498639792,423,0.114234141291617,0
DPCERA3M086SBEA,1,1,38.8365819169483,01-Apr-1988,5,0.00580004159345813,0.00325734143606445,0.561606564983673,-43.8393435016327,422,2.08571930837564e-08,1
CMRMTSPLx,1,1,29.2336224177167,01-Aug-1992,5,0.0110011654275458,0.00681038616184738,0.619060426524892,-38.0939573475108,417,2.43340374594947e-06,1
RETAILx,1,1,27.3619648870288,01-Jan-1992,5,0.0115942177709046,0.00713852139391232,0.615696680445859,-38.4303319554141,421,6.12149781920035e-06,1
INDPRO,1,1,23.5123025852814,01-Feb-1984,5,0.00680943460896299,0.00436987974946228,0.641738998963347,-35.8261001036653,411,4.0527695264525e-05,1
IPFPNSS,1,1,13.2707425367836,01-Jan-1984,5,0.00712014432590685,0.00494254445960555,0.694163521604746,-30.5836478395254,420,0.00572830769649346,1
IPFINAL,1,1,4.4287120307548,01-Jan-1984,5,0.0076130097732994,0.00614574592095511,0.807268886283276,-19.2731113716724,423,0.317240388425279,0
IPCONGD,1,1,6.06868179852129,01-Sep-1975,5,0.00957538160804933,0.0071307378719271,0.744694902387265,-25.5305097612735,423,0.157720704797552,0
IPDCONGD,1,1,2.65157805602496,01-Sep-1975,5,0.0200068881739721,0.0154275184821599,0.771110346996902,-22.8889653003098,412,0.633690642879215,0
IPNCONGD,1,1,2.15706033805453,01-Jul-1991,5,0.0071579474171501,0.00626224650832413,0.874866235161226,-12.5133764838774,422,0.750558614112297,0
IPBUSEQ,1,1,15.9397579907287,01-Dec-1982,5,0.0108494868204553,0.00754457879756044,0.69538577468347,-30.461422531653,420,0.0016009557755281,1
IPMAT,1,1,53.8869428079831,01-Feb-1984,5,0.00918600912152139,0.00473028004643257,0.514943974456792,-48.5056025543208,411,1.13610232332917e-11,1
IPDMAT,1,1,27.431627824617,01-Feb-1984,5,0.0132778190946451,0.0075510203481055,0.568694323539234,-43.1305676460766,411,5.91510009617657e-06,1
IPNMAT,1,1,31.3912902344851,01-May-1993,5,0.00829376746459744,0.00482342689813863,0.581572478216659,-41.8427521783341,421,8.38132819480641e-07,1
IPMANSICS,1,1,25.5688916196954,01-Jan-1984,5,0.00773677381628986,0.00506102497659161,0.654151859258903,-34.5848140741097,411,1.47838020754243e-05,1
