series_name,include_main_hist,cv_supw_found_hist,cv_supw_stat_hist,cv_supw_break_date_hist,cv_supw_hac_lag_hist,cv_mu1_hist,cv_mu2_hist,cv_ratio_hist,cv_pct_change_hist,cv_break_date_hist,cv_hansen_pval_hist,cv_hansen_sig5_hist
RPI,1,1,4.32188865447698,01-Mar-1970,5,0.00302649137873153,0.00396758727923662,1.31095277756897,31.0952777568965,01-Mar-1970,0.331510416452082,0
W875RX1,1,1,7.90795206378049,01-Jun-1972,5,0.00292717082673089,0.00426512963977918,1.4570825866499,45.7082586649903,01-Jun-1972,0.069511014843518,0
DPCERA3M086SBEA,1,1,44.5520375985273,01-Jan-1992,5,0.00585002528019182,0.00305887846004838,0.522882947259345,-47.7117052740655,01-Jan-1992,1.20916965329343e-09,1
CMRMTSPLx,1,1,37.5573938622913,01-Aug-1992,5,0.0114059214486448,0.00681038616184737,0.597092150117917,-40.2907849882083,01-Aug-1992,3.9399088325176e-08,1
RETAILx,1,1,35.7338761158126,01-Jan-1992,5,0.0120439246323073,0.00713852139391232,0.592707245507294,-40.7292754492706,01-Jan-1992,9.7463251580443e-08,1
INDPRO,1,1,28.8518802445158,01-Feb-1984,5,0.00731508175873443,0.00444474303084555,0.607613582109098,-39.2386417890902,01-Feb-1984,2.93765471226504e-06,1
IPFPNSS,1,1,18.6866398654882,01-Jan-1984,5,0.00763575298243519,0.00499779378688627,0.654525336058262,-34.5474663941738,01-Jan-1984,0.000425391817795218,1
IPFINAL,1,1,8.71611272646346,01-Jan-1984,5,0.00845627894807788,0.00626243679000054,0.740566486566056,-25.9433513433944,01-Jan-1984,0.048114861328543,1
IPCONGD,1,1,8.10185877552061,01-Oct-1983,5,0.00936676824554838,0.00703313959732791,0.750860853279941,-24.9139146720059,01-Oct-1983,0.0636616850266762,0
IPDCONGD,1,1,4.77062022786034,01-Apr-1982,5,0.020303911616437,0.0154275078213154,0.759829342875298,-24.0170657124702,01-Apr-1982,0.275165265113069,0
IPNCONGD,1,1,3.2041559576949,01-Jan-1976,5,0.00766444061204499,0.00656794464328103,0.856937247704578,-14.3062752295422,01-Jan-1976,0.516702535861322,0
IPBUSEQ,1,1,21.106082874725,01-Dec-1982,5,0.0114248654269949,0.0075572272000877,0.661471878892449,-33.8528121107551,01-Dec-1982,0.000131276854541729,1
IPMAT,1,1,62.0610476797391,01-Jan-1984,5,0.00985610890408939,0.00483477955700938,0.490536336809691,-50.9463663190309,01-Jan-1984,1.88404847278889e-13,1
IPDMAT,1,1,38.2787496408067,01-Jul-1983,5,0.0145466126724154,0.00776625743016381,0.533887689530011,-46.6112310469989,01-Jul-1983,2.75260403359567e-08,1
IPNMAT,1,1,37.4456543920473,01-May-1993,5,0.00884605611214456,0.00482342689813863,0.545262977872891,-45.4737022127109,01-May-1993,4.16489671639653e-08,1
IPMANSICS,1,1,29.5442694129886,01-Jan-1984,5,0.00828574620886132,0.00514659593563444,0.621138495665041,-37.8861504334959,01-Jan-1984,2.08753454944421e-06,1
IPB51222S,1,1,118.484504825655,01-Feb-1967,5,0.0104919252038944,0.0268523540422692,2.55933525262858,155.933525262858,01-Feb-1967,0,1
IPFUELS,1,1,18.4604652550815,01-Oct-1992,5,0.0181890073637196,0.0121916251766222,0.670274354879863,-32.9725645120137,01-Oct-1992,0.00047463843701967,1
CUMFNS,1,1,30.4994464914071,01-Sep-1983,5,0.670727465163855,0.422433694750014,0.629814219172933,-37.0185780827067,01-Sep-1983,1.30248394658583e-06,1
