series_name,include_main_mod,cvmod_found,cvmod_supw_stat,cvmod_break_date,cvmod_hac_lag,cvmod_mu1,cvmod_mu2,cvmod_ratio,cvmod_pct_change,cvmod_hansen_pval,cvmod_hansen_sig5
RPI,1,1,8.89234799081979,01-Jan-2004,5,0.00235739391307922,0.00804362141602608,3.41208203321419,241.208203321419,0.0443830691654145,1
W875RX1,1,1,4.78160361840056,01-Jun-2021,5,0.00506134777180338,0.00301220904223355,0.595139709429666,-40.4860290570334,0.273900912957031,0
DPCERA3M086SBEA,1,1,2.46434253895835,01-Nov-2021,5,0.00486904347034217,0.00285602128065888,0.586567217576756,-41.3432782423244,0.676827515726685,0
CMRMTSPLx,1,1,2.04149668919215,01-Jul-2021,5,0.0089055839050791,0.00669686345051451,0.751984768420979,-24.8015231579021,0.778926782986013,0
RETAILx,1,1,2.62575584143719,01-May-2020,5,0.00960545823010671,0.0163783630144194,1.70511001370909,70.5110013709091,0.639544570932779,0
INDPRO,1,1,6.57678093286701,01-Jan-2004,5,0.00425169030989712,0.00740466202352414,1.74158075584374,74.158075584374,0.126148566797432,0
IPFPNSS,1,1,4.2267293267102,01-Mar-2003,5,0.00464604003535303,0.00736705092200278,1.58566238472867,58.5662384728673,0.344694052365443,0
IPFINAL,1,1,5.49402631414905,01-Jun-2008,5,0.00536686536921143,0.00942973196732799,1.75702785864992,75.7027858649923,0.202352323559447,0
IPCONGD,1,1,5.36987813155548,01-Feb-2008,5,0.00599590017876521,0.00939898804758936,1.56756913346829,56.7569133468291,0.213428078397257,0
IPDCONGD,1,1,9.68651573622331,01-May-2004,5,0.0119874527406942,0.0269201350037956,2.24569269102592,124.569269102593,0.0307862825659563,1
IPNCONGD,1,1,4.46663221782203,01-Oct-2014,5,0.00613589334389245,0.00819135518529718,1.33498982563814,33.4989825638136,0.312306937236114,0
IPBUSEQ,1,1,4.80473768860727,01-Jun-2005,5,0.00833099323496376,0.0145328192553393,1.74442816666175,74.4428166661751,0.271254988912591,0
IPMAT,1,1,5.50720242154017,01-Apr-2004,5,0.00515674865299004,0.00837013433350089,1.62314180828799,62.3141808287988,0.201208676813692,0
IPDMAT,1,1,3.39801870322665,01-Apr-2008,5,0.007353491149011,0.0117705825464864,1.60067950147318,60.0679501473182,0.479647847519728,0
IPNMAT,1,1,9.69826005744949,01-Jun-2004,5,0.006166183788794,0.0111260537448547,1.80436622162875,80.4366221628753,0.0306195007239743,1
IPMANSICS,1,1,5.51334496363039,01-Mar-2003,5,0.00527514465843364,0.00856936500425968,1.62447962266957,62.447962266957,0.200677577594122,0
IPB51222S,1,1,13.5564815037971,01-Sep-2009,5,0.0311319301138999,0.0452013276653484,1.4519282132516,45.19282132516,0.00500127088806401,1
