series_name,include_main_2007,cv2007_smooth_found,cv2007_smooth_gamma,cv2007_smooth_midpoint,cv2007_smooth_ssr_gain,cv2007_smooth_ratio,cv2007_smooth_pct_change,cv2007_smooth_abrupt
RPI,1,1,100,01-Apr-1970,0.675505172721062,1.29489455236336,29.4894552363365,1
W875RX1,1,1,100,01-Nov-1971,1.25105622870949,1.44671664087312,44.6716640873119,1
DPCERA3M086SBEA,1,1,100,01-May-1988,6.80827998500025,0.588459575096547,-41.1540424903453,1
CMRMTSPLx,1,1,2,01-Nov-1966,7.49391167885477,0.165863456054353,-83.4136543945647,0
RETAILx,1,1,100,01-Apr-1988,3.05613156022624,0.707920910511191,-29.2079089488809,1
INDPRO,1,1,100,01-Oct-1983,5.34701521534326,0.632107180562928,-36.7892819437072,1
IPFPNSS,1,1,100,01-Sep-1983,5.16845958521091,0.645005956300804,-35.4994043699196,1
IPFINAL,1,1,100,01-Sep-1983,3.71351256517746,0.693823990161447,-30.6176009838553,1
IPCONGD,1,1,100,01-Apr-1976,3.16779535705983,0.71353066767367,-28.646933232633,1
IPDCONGD,1,1,1,01-Apr-1967,1.88095340978957,0.0456103623565671,-95.4389637643433,0
IPNCONGD,1,1,100,01-Jun-1976,0.849112695166308,0.861121537502577,-13.8878462497423,1
IPBUSEQ,1,1,100,01-Apr-1983,3.84392095076503,0.693360922233161,-30.6639077766839,1
IPMAT,1,1,100,01-Aug-1983,7.73059910011665,0.570840134207433,-42.9159865792567,1
IPDMAT,1,1,100,01-Jun-1983,10.0180718328042,0.515273564233728,-48.4726435766271,1
IPNMAT,1,1,100,01-Jul-1983,3.93653034839622,0.66783120876847,-33.216879123153,1
IPMANSICS,1,1,100,01-Aug-1983,5.89158135747531,0.622721350990608,-37.7278649009392,1
IPB51222S,1,1,20,01-Feb-1972,10.8381003340839,3.00918872207168,200.918872207168,1
IPFUELS,1,1,100,01-Sep-1991,1.33486351342952,0.792390120073349,-20.7609879926651,1
CUMFNS,1,1,100,01-Jun-1983,6.45157531037377,0.610901814753307,-38.9098185246693,1
HWI,1,1,2,01-Sep-2000,14.8923454132157,57.5325402217443,5653.25402217443,0
HWIURATIO,1,1,100,01-Mar-1975,2.44103511246744,0.741343018864175,-25.8656981135825,1
CLF16OV,1,1,5,01-Jul-1966,7.56965266061039,0.366654703538817,-63.3345296461183,0
CE16OV,1,1,10,01-Oct-1966,5.7526844817138,0.490108073294971,-50.9891926705029,0
UNRATE,1,1,100,01-May-1986,2.43682103986082,0.748760165340013,-25.1239834659987,1
UEMPMEAN,1,1,100,01-Dec-1966,4.05010012830744,0.655687324387536,-34.4312675612465,1
UEMPLT5,1,1,10,01-Jul-1968,3.68872287946293,0.581550046893214,-41.8449953106786,0
UEMP5TO14,1,1,100,01-Jul-1976,5.04042494675923,0.692444496796855,-30.7555503203145,1
UEMP15OV,1,1,100,01-Jun-1971,4.80013905245613,0.681949051817433,-31.8050948182567,1
