series_name,include_main_full_ext,cvfull_smooth_found,cvfull_smooth_gamma,cvfull_smooth_midpoint,cvfull_smooth_ssr_gain,cvfull_smooth_ratio,cvfull_smooth_pct_change,cvfull_smooth_abrupt
RPI,1,1,100,01-May-2007,6.21464135873324,2.59212743316894,159.212743316894,1
W875RX1,1,1,100,01-Nov-1971,0.949963699245822,1.55728372683864,55.7283726838642,1
DPCERA3M086SBEA,1,1,100,01-Jun-1988,1.11299876525518,0.717697967745655,-28.2302032254345,1
CMRMTSPLx,1,1,10,01-Oct-1969,4.38903071790657,0.48255230950708,-51.744769049292,0
RETAILx,1,1,100,01-Jan-2016,0.991936629474725,1.42018373923667,42.018373923667,1
INDPRO,1,1,100,01-Feb-2016,1.40472865409546,1.48621290373119,48.621290373119,1
IPFPNSS,1,1,100,01-Dec-2015,1.54659741256446,1.50325675537265,50.3256755372652,1
IPFINAL,1,1,100,01-Dec-2015,1.93912002040043,1.53814031438091,53.8140314380912,1
IPCONGD,1,1,100,01-Dec-2015,1.20621803020267,1.37623316999485,37.6233169994847,1
IPDCONGD,1,1,50,01-Feb-2016,4.04673658805433,1.99438634238528,99.4386342385277,1
IPNCONGD,1,1,100,01-Jul-2015,0.542855408446966,1.17785194842526,17.7851948425263,1
IPBUSEQ,1,1,50,01-Dec-2015,2.1595104367786,1.67301036699468,67.3010366994679,1
IPMAT,1,1,100,01-Jan-1983,2.71114166425756,0.665519044064925,-33.4480955935075,1
IPDMAT,1,1,100,01-Jan-1983,3.0960828525565,0.643551187324651,-35.6448812675349,1
IPNMAT,1,1,100,01-Jan-2016,1.52995428569169,1.46528641415539,46.5286414155389,1
IPMANSICS,1,1,100,01-Feb-2016,1.16704107644981,1.45499624249921,45.4996242499208,1
IPB51222S,1,1,2,01-Aug-1969,11.5165750890537,-2.75858850506919,-375.858850506919,0
IPFUELS,1,1,100,01-Mar-1972,0.550813116374526,1.25687865832463,25.6878658324626,1
CUMFNS,1,1,100,01-Apr-1983,1.28552088756114,0.746175401960433,-25.3824598039567,1
HWI,1,1,5,01-Feb-2016,25.7647312553822,8.9625840902445,796.25840902445,0
HWIURATIO,1,1,50,01-Jan-2016,17.2953134816398,3.25860271179189,225.86027117919,1
CLF16OV,1,1,10,01-May-1969,2.44090105639946,0.541604832978979,-45.8395167021021,0
CE16OV,1,1,50,01-Dec-2015,1.3809651279727,1.98752747705607,98.7527477056065,1
UNRATE,1,1,50,01-Dec-2015,1.42785490647893,2.09583927321652,109.583927321652,1
UEMPMEAN,1,1,20,01-Nov-2013,21.3291448919201,3.52002219117488,252.002219117488,1
UEMPLT5,1,1,50,01-Jan-2016,7.20798914686517,2.69823704843645,169.823704843645,1
UEMP5TO14,1,1,50,01-Jan-2016,6.6223559904097,2.20636780301048,120.636780301048,1
UEMP15OV,1,1,100,01-Jan-2016,4.01944568638827,1.69534021905437,69.5340219054367,1
UEMP15T26,1,1,100,01-Dec-2015,2.85617671018448,1.57954454597639,57.9544545976386,1
UEMP27OV,1,1,100,01-Jun-1976,3.07655815565736,0.705658551560942,-29.4341448439058,1
CLAIMSx,1,1,100,01-Dec-2015,2.26171083060358,2.09344693642017,109.344693642017,1
PAYEMS,1,1,100,01-Dec-2015,0.737198369060928,1.87591440518727,87.5914405187268,1
USGOOD,1,1,100,01-Jun-1983,2.0928833290527,0.549879972298793,-45.0120027701207,1
CES1021000001,1,1,100,01-Feb-1983,7.05350778798427,0.359668483072385,-64.0331516927615,1
USCONS,1,1,100,01-Aug-1983,7.91893005615308,0.437041288449765,-56.2958711550235,1
MANEMP,1,1,100,01-Mar-1983,2.08376060276283,0.537933579990441,-46.2066420009559,1
DMANEMP,1,1,100,01-May-1983,2.65408128190936,0.516532090731758,-48.3467909268242,1
NDMANEMP,1,1,100,01-Jan-2016,0.786373761828298,1.55938423967568,55.9384239675682,1
SRVPRD,1,1,50,01-Dec-2015,1.7393796987459,3.34289771653638,234.289771653638,1
USTPU,1,1,100,01-Dec-2015,1.02970015313624,1.82115060773176,82.1150607731762,1
USWTRADE,1,1,100,01-Jan-2016,1.00364084886931,1.63170661887775,63.1706618877747,1
USTRADE,1,1,100,01-Dec-2015,1.38408104540943,2.07777015162574,107.777015162574,1
