series_name,include_main_hist,cv_smooth_found_hist,cv_smooth_gamma_hist,cv_smooth_midpoint_hist,cv_smooth_ssr_gain_hist,cv_smooth_ratio_hist,cv_smooth_pct_change_hist,cv_smooth_abrupt_hist
RPI,1,1,100,01-Mar-1970,0.682119737666168,1.28018478066587,28.0184780665875,1
W875RX1,1,1,100,01-Jan-1972,1.5788249894633,1.44494204551296,44.4942045512959,1
DPCERA3M086SBEA,1,1,100,01-Apr-1988,5.51491437201932,0.584565396564834,-41.5434603435166,1
CMRMTSPLx,1,1,1,01-Sep-1965,6.16475559680613,-0.0809681594547153,-108.096815945472,0
RETAILx,1,1,100,01-Feb-1988,3.65220917645617,0.647423151835269,-35.2576848164731,1
INDPRO,1,1,100,01-Oct-1983,5.15772318960492,0.614129501054971,-38.5870498945029,1
IPFPNSS,1,1,100,01-Sep-1983,4.00107896982784,0.662601974861309,-33.7398025138691,1
IPFINAL,1,1,100,01-Sep-1983,2.17188441916803,0.750764878188303,-24.9235121811697,1
IPCONGD,1,1,100,01-Feb-1976,2.44251797507516,0.743291199721087,-25.6708800278913,1
IPDCONGD,1,1,100,01-Jan-1983,1.37077685996882,0.760424223532344,-23.9575776467656,1
IPNCONGD,1,1,100,01-Apr-1976,0.778945508424796,0.870131867252827,-12.9868132747173,1
IPBUSEQ,1,1,100,01-Apr-1983,4.54864157729568,0.665538508736615,-33.4461491263385,1
IPMAT,1,1,100,01-Aug-1983,10.9463750552836,0.486842894269711,-51.3157105730289,1
IPDMAT,1,1,100,01-May-1983,8.189615194504,0.527709933880319,-47.2290066119681,1
IPNMAT,1,1,100,01-Sep-1983,7.41157411483716,0.569227720592032,-43.0772279407968,1
IPMANSICS,1,1,100,01-Aug-1983,5.07922671572766,0.623398300484884,-37.6601699515116,1
IPB51222S,1,1,20,01-Nov-1971,11.7515676605329,2.77636413018691,177.636413018691,1
IPFUELS,1,1,100,01-Oct-1991,1.98881579581423,0.695660094463562,-30.4339905536438,1
CUMFNS,1,1,100,01-Jun-1983,5.09060491390992,0.629180634906582,-37.0819365093418,1
HWI,1,1,5,01-Feb-1966,8.3819689868103,157.781024472211,15678.1024472211,0
HWIURATIO,1,1,100,01-Feb-1981,4.2193502716592,0.668659825685154,-33.1340174314846,1
CLF16OV,1,1,1,01-May-1965,8.67257110111738,-0.179903002698702,-117.99030026987,0
CE16OV,1,1,20,01-Jul-1965,7.28223598514958,0.508694393186025,-49.1305606813975,1
UNRATE,1,1,100,01-Sep-1986,2.84910289951122,0.697139490824308,-30.2860509175691,1
UEMPMEAN,1,1,100,01-Sep-1965,5.08288682719246,0.62208684316158,-37.791315683842,1
UEMPLT5,1,1,10,01-Jul-1976,4.63975029552995,0.598541036607878,-40.1458963392122,0
UEMP5TO14,1,1,20,01-Aug-1979,6.00757046272394,0.63965191276794,-36.034808723206,1
UEMP15OV,1,1,10,01-Apr-1973,6.76973252059364,0.575871431325811,-42.4128568674189,0
UEMP15T26,1,1,10,01-Nov-1973,5.60084552838177,0.615545677994418,-38.4454322005582,0
UEMP27OV,1,1,20,01-Apr-1978,8.08331675434319,0.564182315193114,-43.5817684806886,1
CLAIMSx,1,1,100,01-Sep-1984,4.6303993354335,0.645344255180416,-35.4655744819584,1
PAYEMS,1,1,100,01-Jul-1984,9.12317383125264,0.472493897935866,-52.7506102064134,1
USGOOD,1,1,100,01-Oct-1983,11.6351809024661,0.395329280267713,-60.4670719732287,1
CES1021000001,1,1,100,01-Sep-1983,2.2239275560242,0.474023090896244,-52.5976909103756,1
USCONS,1,1,50,01-Feb-1983,11.6750516572152,0.436166000361377,-56.3833999638623,1
MANEMP,1,1,100,01-Aug-1983,8.94682381201399,0.382425006843726,-61.7574993156274,1
DMANEMP,1,1,100,01-Sep-1983,7.08939134288972,0.390179436124361,-60.9820563875639,1
NDMANEMP,1,1,100,01-Mar-1983,8.8274933279341,0.506880404515056,-49.3119595484944,1
SRVPRD,1,1,100,01-Oct-1984,3.25559137217675,0.649112176187932,-35.0887823812068,1
USTPU,1,1,20,01-Jul-1965,6.75256243236745,0.483636266391914,-51.6363733608086,1
USWTRADE,1,1,5,01-Nov-1993,3.46518092639565,0.288081032476758,-71.1918967523242,0
USTRADE,1,1,10,01-Aug-1965,7.51518559000862,0.410260045778737,-58.9739954221263,0
USFIRE,1,1,100,01-Oct-1965,0.981913412305399,1.32509142339265,32.5091423392651,1
USGOVT,1,1,100,01-Aug-1991,3.53933548304212,0.508534478595819,-49.1465521404181,1
CES0600000007,1,1,100,01-Jan-1984,2.63317873750407,0.66035528015731,-33.964471984269,1
AWOTMAN,1,1,10,01-Oct-1993,1.46101118558437,0.531459961424555,-46.8540038575445,0
AWHMAN,1,1,100,01-Jan-1984,2.46518292193729,0.654113690227357,-34.5886309772643,1
HOUST,1,1,20,01-Aug-1993,3.56746952321514,0.477273594428539,-52.2726405571461,1
HOUSTNE,1,1,100,01-Mar-1984,1.02222700534552,0.824895857982783,-17.5104142017217,1
HOUSTMW,1,1,20,01-Oct-1991,2.03392592030711,0.646456212504711,-35.3543787495289,1
HOUSTS,1,1,100,01-Mar-1984,1.63255294432787,0.786721822467189,-21.3278177532811,1
HOUSTW,1,1,100,01-Sep-1984,1.67402438602391,0.799168171128111,-20.0831828871889,1
PERMIT,1,1,100,01-Sep-1991,5.17204077597728,0.507202910440904,-49.2797089559096,1
PERMITNE,1,1,100,01-Jul-1984,2.89046411560435,0.698922975623063,-30.1077024376937,1
PERMITMW,1,1,100,01-Feb-1991,4.68932290352553,0.533048637243821,-46.6951362756179,1
PERMITS,1,1,100,01-Sep-1991,1.84925422581663,0.712935745108565,-28.7064254891435,1
PERMITW,1,1,100,01-Oct-1991,1.51443223238724,0.728706204135206,-27.1293795864794,1
ACOGNO,0,0,NaN,,NaN,NaN,NaN,0
AMDMNOx,1,1,100,01-Oct-1992,0.8928017598028,0.806140240554997,-19.3859759445003,1
ANDENOx,0,0,NaN,,NaN,NaN,NaN,0
AMDMUOx,1,1,20,01-Jul-1965,2.2725649025832,0.684452955054449,-31.5547044945551,1
BUSINVx,1,1,100,01-Nov-1992,1.18601663115385,0.63042789271312,-36.957210728688,1
ISRATIOx,1,1,20,01-Oct-1992,2.8151030869768,0.52269335191094,-47.730664808906,1
M1SL,1,1,100,01-Jun-1978,5.50427151371407,1.57470413248414,57.4704132484141,1
M2SL,1,1,100,01-Nov-1965,2.18261613519379,1.59038385589256,59.0383855892558,1
M2REAL,1,1,20,01-Jan-1991,2.26138716331702,0.63807653257583,-36.192346742417,1
BOGMBASE,1,1,100,01-Oct-1968,0.216213222057813,1.12877815992021,12.8778159920206,1
TOTRESNS,1,1,2,01-Jan-1966,6.45551503532485,-3.59734525905973,-459.734525905973,0
NONBORRES,1,1,50,01-Nov-1978,6.14111960664039,1.80843953540291,80.8439535402915,1
BUSLOANS,1,1,100,01-Sep-1966,1.18990740294946,1.34212137407435,34.2121374074349,1
REALLN,1,1,20,01-Oct-1993,3.91130065939168,1.74073259781301,74.0732597813012,1
NONREVSL,1,1,100,01-Aug-1974,0.569403935714903,1.2482592410449,24.8259241044901,1
CONSPI,1,1,100,01-Jun-1970,0.472043467745485,1.23131359898828,23.1313598988278,1
S&P 500,1,1,100,01-Apr-1991,0.732437364271873,0.814928595953337,-18.5071404046663,1
S&P div yield,1,1,100,01-Jun-1991,6.48538186077455,0.405463609348883,-59.4536390651116,1
S&P PE ratio,1,1,100,01-Jun-1991,0.816720907581315,0.801906681240529,-19.8093318759471,1
FEDFUNDS,1,1,50,01-May-1986,5.09971903552202,0.376428680433634,-62.3571319566366,1
CP3Mx,1,1,50,01-May-1969,6.32908402828967,4.03019871735986,303.019871735986,1
TB3MS,1,1,50,01-Apr-1986,6.41281463117952,0.400143179664735,-59.9856820335265,1
TB6MS,1,1,50,01-Feb-1969,5.52383365385067,2.6595376648594,165.95376648594,1
GS1,1,1,100,01-May-1969,5.61099380919767,2.25351320084002,125.351320084002,1
GS5,1,1,50,01-Oct-1968,8.94565463605938,2.76893053130219,176.893053130219,1
GS10,1,1,100,01-Feb-1979,10.2566979524471,1.99986744967489,99.9867449674892,1
AAA,1,1,100,01-Dec-1978,14.6941087435474,2.62810664222875,162.810664222875,1
BAA,1,1,100,01-Nov-1978,17.1788439603621,2.6246539396652,162.46539396652,1
COMPAPFFx,1,1,100,01-May-1985,3.98999082530306,0.571520233569167,-42.8479766430833,1
TB3SMFFM,1,1,100,01-Mar-1985,6.34271145327245,0.433514390864108,-56.6485609135892,1
TB6SMFFM,1,1,100,01-Jun-1985,6.29399031823573,0.43405564989896,-56.594435010104,1
T1YFFM,1,1,100,01-Sep-1985,3.74051440618143,0.577015887657558,-42.2984112342442,1
T5YFFM,1,1,100,01-Nov-1968,3.1225916996842,1.88042138723717,88.0421387237168,1
T10YFFM,1,1,100,01-Dec-1968,3.19868150866528,1.99705301248712,99.7053012487118,1
AAAFFM,1,1,50,01-May-1986,3.44335335914449,0.486052975194286,-51.3947024805714,1
BAAFFM,1,1,100,01-Jun-1985,3.35808915694152,0.51783449835349,-48.216550164651,1
TWEXAFEGSMTHx,0,0,NaN,,NaN,NaN,NaN,0
EXSZUSx,1,1,100,01-Jun-1972,29.2238832867166,13.7021043997866,1270.21043997866,1
EXJPUSx,1,1,20,01-Feb-1974,28.0623951368079,19.7763630539024,1877.63630539024,1
EXUSUKx,1,1,20,01-Dec-1972,23.7829624639472,11.187311105112,1018.7311105112,1
EXCAUSx,1,1,50,01-Dec-1974,18.2388339687799,2.90252003033803,190.252003033803,1
WPSFD49207,1,1,100,01-Feb-1992,1.65767246015703,0.692146271028594,-30.7853728971406,1
WPSFD49502,1,1,100,01-Mar-1992,1.48770332044687,0.722340928586845,-27.7659071413155,1
WPSID61,1,1,100,01-Sep-1970,2.29162978893575,1.51801357673835,51.8013576738351,1
WPSID62,1,1,100,01-Oct-1989,6.95949585958671,1.75389521481702,75.3895214817018,1
OILPRICEx,1,1,5,01-Dec-1978,17.6952478975339,-25.0442925824756,-2604.42925824756,0
PPICMM,1,1,5,01-Feb-1966,6.51066830650668,23.9299047703419,2292.99047703419,0
CPIAUCSL,1,1,100,01-Oct-1991,2.39864127502472,0.628338834759062,-37.1661165240938,1
CPIAPPSL,1,1,50,01-Jul-1985,13.7700531783899,2.06934423735152,106.934423735152,1
CPITRNSL,1,1,100,01-Nov-1967,0.947426162452419,1.28082210649322,28.0822106493225,1
CPIMEDSL,1,1,20,01-Jan-1983,13.2146227613619,0.340683228922077,-65.9316771077923,1
CUSR0000SAC,1,1,100,01-Dec-1991,1.18350701948665,0.743499511040294,-25.6500488959707,1
CUSR0000SAD,1,1,100,01-Jul-1988,6.63920683041284,0.564241613813514,-43.5758386186486,1
CUSR0000SAS,1,1,100,01-Apr-1984,9.17577268054615,0.451709262890001,-54.8290737109999,1
CPIULFSL,1,1,100,01-May-1991,2.72244124146445,0.655558251738493,-34.4441748261507,1
CUSR0000SA0L2,1,1,100,01-Aug-1991,2.98562120999971,0.641420601092717,-35.8579398907283,1
CUSR0000SA0L5,1,1,100,01-Jun-1991,3.94426896743391,0.577775644621726,-42.2224355378274,1
PCEPI,1,1,100,01-Mar-1972,3.08389887694921,1.42151573777984,42.1515737779836,1
DDURRG3M086SBEA,1,1,100,01-Jun-1981,0.570220243665175,0.869669415805478,-13.0330584194522,1
DNDGRG3M086SBEA,1,1,100,01-Apr-1972,2.34351516885973,1.4124657222061,41.2465722206101,1
DSERRG3M086SBEA,1,1,100,01-Nov-1972,8.12319106662656,1.90536738290829,90.5367382908295,1
CES0600000008,1,1,100,01-Aug-1983,4.67860623606985,0.65150847979132,-34.849152020868,1
CES2000000008,1,1,2,01-Dec-1993,6.2817835479744,-0.155239271555003,-115.5239271555,0
CES3000000008,1,1,100,01-Apr-1983,6.02483072932571,0.578050912583814,-42.1949087416186,1
UMCSENTx,0,0,NaN,,NaN,NaN,NaN,0
DTCOLNVHFNM,1,1,100,01-Feb-1976,7.80735516792126,2.15726247070763,115.726247070763,1
DTCTHFNM,1,1,100,01-Feb-1974,4.55403313645131,1.88643324132909,88.6433241329088,1
INVEST,1,1,100,01-Jul-1976,4.95291118506514,0.680571246896687,-31.9428753103313,1
VIXCLSx,1,1,100,01-Jun-1988,1.51980408989477,0.730995425638851,-26.9004574361149,1
