series_name,fred_group,include_main_hist,include_main_2007,include_main_full_ext,hist_uv_gamma,hist_uv_abrupt,hist_uv_smooth_mid,hist_uv_lag_mo,hist_cv_gamma,hist_cv_abrupt,hist_cv_smooth_mid,hist_cv_lag_mo,p2007_uv_gamma,p2007_uv_abrupt,p2007_uv_smooth_mid,p2007_uv_lag_mo,p2007_cv_gamma,p2007_cv_abrupt,p2007_cv_smooth_mid,p2007_cv_lag_mo,full_uv_gamma,full_uv_abrupt,full_uv_smooth_mid,full_uv_lag_mo,full_cv_gamma,full_cv_abrupt,full_cv_smooth_mid,full_cv_lag_mo
RPI,Output and Income,1,1,1,,,,,,,,,,,,,,,,,,,,,50 | 100 | 100 | 100 | 2 | 100 | 50,1 | 1 | 1 | 1 | 0 | 1 | 1,01-Nov-1989 | 01-Feb-1995 | 01-Sep-2004 | 01-Feb-2008 | 01-Feb-2010 | 01-Mar-2020 | 01-Apr-2022,235 | 0 | 41 | -3 | -61 | 3 | -5
W875RX1,Output and Income,1,1,1,,,,,,,,,,,,,100 | 100,1 | 1,01-Mar-1962 | 01-Mar-1972,-44 | -3,,,,,100 | 100,1 | 1,01-Mar-1962 | 01-Oct-1990,-45 | 219
DPCERA3M086SBEA,Orders and Inventories,1,1,1,100,1,01-May-1988,15,100,1,01-Apr-1988,14,100,1,01-Jun-1988,16,100,1,01-May-1988,15,,,,,,,,
CMRMTSPLx,Orders and Inventories,1,1,1,100 | 100,1 | 1,01-Oct-1965 | 01-Aug-1992,-10 | -1,1,0,01-Sep-1965,-181,100 | 100,1 | 1,01-Nov-1965 | 01-May-1992,-9 | -4,2,0,01-Nov-1966,-167,5 | 100,0 | 1,01-Apr-1968 | 01-Jan-1992,20 | -332,10,0,01-Oct-1969,-134
RETAILx,Orders and Inventories,1,1,1,100,1,01-Mar-1988,13,100,1,01-Feb-1988,3,100,1,01-Mar-1988,13,100,1,01-Apr-1988,5,,,,,,,,
INDPRO,Output and Income,1,1,1,100,1,01-Dec-1983,-1,100,1,01-Oct-1983,-3,100,1,01-Dec-1983,-1,100,1,01-Oct-1983,-3,100,1,01-Nov-1983,-2,,,,
IPFPNSS,Output and Income,1,1,1,100 | 100 | 100,1 | 1 | 1,01-Dec-1983 | 01-Apr-1989 | 01-Apr-1992,10 | 0 | 1,100,1,01-Sep-1983,-4,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Dec-1983 | 01-Sep-1992 | 01-Apr-1992 | 01-Dec-2001,10 | 41 | -38 | 2,100 | 100,1 | 1,01-Sep-1983 | 01-Jan-1989,-4 | -132,,,,,,,,
IPFINAL,Output and Income,1,1,1,100 | 100,1 | 1,01-Dec-1983 | 01-Mar-1989,10 | -1,100 | 100,1 | 1,01-Jan-1984 | 01-Mar-1989,11 | -1,100 | 100 | 100,1 | 1 | 1,01-Dec-1983 | 01-Mar-1989 | 01-Apr-1992,10 | -1 | -93,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Dec-1983 | 01-Mar-1989 | 01-May-1992 | 01-May-2006,10 | -1 | -78 | 1,,,,,,,,
IPCONGD,Output and Income,1,1,1,100,1,01-Jan-1976,4,,,,,100 | 100,1 | 1,01-Jan-1976 | 01-Dec-2000,4 | 2,100,1,01-Apr-1976,7,,,,,,,,
IPDCONGD,Output and Income,1,1,1,,,,,,,,,10,0,01-Jun-1966,14,1,0,01-Apr-1967,-178,,,,,,,,
IPNCONGD,Output and Income,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
IPBUSEQ,Output and Income,1,1,1,100,1,01-Sep-1983,11,100,1,01-Apr-1983,4,100,1,01-Oct-1983,12,100,1,01-Apr-1983,4,,,,,,,,
IPMAT,Output and Income,1,1,1,10,0,01-Apr-1965,0,100,1,01-Aug-1983,5,5,0,01-Jun-1966,-211,100,1,01-Aug-1983,5,10,0,01-Mar-1969,47,100 | 100,1 | 1,01-Apr-1983 | 01-Mar-2019,1 | -6
IPDMAT,Output and Income,1,1,1,10,0,01-Apr-1965,0,100,1,01-May-1983,4,20 | 100,1 | 1,01-Nov-1962 | 01-Mar-1984,-29 | 1,100,1,01-Jun-1983,5,10,0,01-Mar-1969,47,100,1,01-Jan-1983,0
IPNMAT,Output and Income,1,1,1,100 | 100,1 | 1,01-Nov-1983 | 01-Feb-1996,-2 | 32,100 | 100 | 100,1 | 1 | 1,01-Jun-1979 | 01-Jul-1983 | 01-Jan-1996,168 | 6 | 31,100,1,01-Nov-1983,-2,100,1,01-Jul-1983,6,,,,,,,,
IPMANSICS,Output and Income,1,1,1,100,1,01-Nov-1983,1,100,1,01-Aug-1983,-5,100,1,01-Nov-1983,-3,100,1,01-Aug-1983,-5,,,,,,,,
IPB51222S,Output and Income,1,1,1,10,0,01-May-1972,-15,100 | 50,1 | 1,01-Jan-1967 | 01-May-1973,1 | -6,10,0,01-Mar-1972,-17,100 | 50,1 | 1,01-Jan-1967 | 01-Jun-1973,1 | -5,10 | 100,0 | 1,01-Sep-1971 | 01-Jun-2015,-23 | -4,20 | 100,1 | 1,01-Mar-1972 | 01-Oct-2009,-20 | 1
IPFUELS,Output and Income,1,1,1,100,1,01-Feb-1993,2,100 | 100,1 | 1,01-Nov-1973 | 01-Sep-1986,-3 | 0,,,,,,,,,,,,,,,,
CUMFNS,Output and Income,1,1,1,100,1,01-Jan-1984,-1,100,1,01-Jun-1983,14,100,1,01-Jan-1984,-1,100,1,01-Jun-1983,14,100,1,01-Oct-1983,-4,,,,
HWI,Labor Market,1,1,1,10 | 100,0 | 1,01-Jul-1972 | 01-Oct-1994,38 | 13,100 | 100,1 | 1,01-Aug-1968 | 01-Nov-1994,-1 | 14,10 | 100,0 | 1,01-Dec-1972 | 01-Mar-1995,43 | -7,10 | 20,0 | 1,01-Oct-1971 | 01-Jun-1997,-70 | 26,10 | 100 | 100,0 | 1 | 1,01-Jan-1973 | 01-Apr-1995 | 01-Sep-2019,44 | -6 | -1,5 | 20 | 100,0 | 1 | 1,01-May-1972 | 01-Sep-1997 | 01-Oct-2019,-80 | 4 | -1
HWIURATIO,Labor Market,1,1,1,100 | 100,1 | 1,01-Jun-1975 | 01-Dec-1995,5 | 26,100 | 10 | 100,1 | 0 | 1,01-Aug-1967 | 01-Jul-1971 | 01-Oct-1994,1 | -43 | 12,,,,,,,,,100 | 100,1 | 1,01-May-1975 | 01-Nov-2019,-464 | -4,100 | 20 | 100 | 20 | 100 | 100 | 20 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,01-Jul-1981 | 01-Jul-1996 | 01-Dec-1997 | 01-Feb-2008 | 01-Jun-2009 | 01-Jun-2014 | 01-Jul-2019 | 01-Feb-2020,7 | 24 | -34 | 14 | -37 | 1 | 46 | -4
CLF16OV,Labor Market,1,1,1,100 | 100 | 10,1 | 1 | 0,01-Nov-1962 | 01-Jan-1984 | 01-Jun-1997,-69 | 3 | 45,100 | 100 | 100,1 | 1 | 1,01-Dec-1962 | 01-Dec-1983 | 01-Dec-1996,-33 | 2 | 39,100 | 100,1 | 1,01-Nov-1962 | 01-Feb-1984,-69 | 4,100 | 100,1 | 1,01-Dec-1962 | 01-Dec-1983,-33 | 2,10,0,01-Mar-1969,-76,10 | 100,0 | 1,01-Jun-1968 | 01-Feb-2019,-182 | -9
CE16OV,Labor Market,1,1,1,50 | 10,1 | 0,01-Feb-1964 | 01-Oct-1994,-20 | 32,20 | 10,1 | 0,01-May-1964 | 01-Oct-1994,-17 | 31,50 | 100,1 | 1,01-Dec-1962 | 01-Dec-1984,-34 | 4,50 | 100,1 | 1,01-Jun-1963 | 01-Dec-1985,-28 | -2,,,,,,,,
UNRATE,Labor Market,1,1,1,100,1,01-Feb-1985,7,100,1,01-Sep-1986,-3,100,1,01-Apr-1985,9,100,1,01-May-1986,3,,,,,,,,
UEMPMEAN,Labor Market,1,1,1,,,,,100,1,01-Sep-1965,1,,,,,50 | 100,1 | 1,01-Nov-1965 | 01-May-1974,-7 | -6,100 | 50 | 100,1 | 1 | 1,01-Nov-2007 | 01-Sep-2018 | 01-May-2022,-8 | 8 | -24,100 | 50 | 100,1 | 1 | 1,01-Jan-2008 | 01-Nov-2018 | 01-Jul-2022,-8 | 8 | -24
UEMPLT5,Labor Market,1,1,1,100 | 100 | 50,1 | 1 | 1,01-May-1963 | 01-Nov-1984 | 01-Mar-1993,-24 | -3 | -6,5 | 100,0 | 1,01-Nov-1983 | 01-Aug-1993,0 | 0,,,,,100 | 100 | 100,1 | 1 | 1,01-Jul-1970 | 01-Sep-1984 | 01-Apr-1993,3 | 0 | -3,,,,,,,,
UEMP5TO14,Labor Market,1,1,1,100,1,01-Dec-1975,11,20,1,01-Aug-1979,-16,100,1,01-Jan-1976,12,100,1,01-Jul-1976,12,,,,,,,,
