series_name,include_main_hist,include_main_2007,include_main_full_ext,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist,uv2007_mb_nbreaks,uv2007_mb_break_dates,uv2007_mb_break_stats,uv2007_mb_break_pvals,cv2007_mb_nbreaks,cv2007_mb_break_dates,cv2007_mb_break_stats,cv2007_mb_break_pvals,uvfull_mb_nbreaks,uvfull_mb_break_dates,uvfull_mb_break_stats,uvfull_mb_break_pvals,cvfull_mb_nbreaks,cvfull_mb_break_dates,cvfull_mb_break_stats,cvfull_mb_break_pvals
RPI,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,5,01-Apr-1970 | 01-Feb-1995 | 01-Nov-2004 | 01-Jul-2016 | 01-Sep-2022,7.231 | 16.477 | 24.36 | 2.268 | 6.336,0.007165 | 4.9e-05 | 1e-06 | 0.13206 | 0.011828
W875RX1,1,1,1,0,,,,0,,,,0,,,,2,01-Nov-1965 | 01-Jun-1972,6.859 | 18.344,0.008819 | 1.8e-05,0,,,,2,01-Dec-1965 | 01-Jul-1972,6.414 | 11.658,0.011323 | 0.01227
DPCERA3M086SBEA,1,1,1,1,01-Feb-1987,28.64,0,1,01-Feb-1987,29.383,0,1,01-Feb-1987,30.214,0,1,01-Feb-1987,35.526,0,0,,,,0,,,
CMRMTSPLx,1,1,1,2,01-Aug-1966 | 01-Sep-1992,27.23 | 20.608,0 | 6e-06,1,01-Oct-1980,16.972,3.8e-05,2,01-Aug-1966 | 01-Sep-1992,27.49 | 17.191,0 | 3.4e-05,1,01-Oct-1980,22.938,2e-06,2,01-Aug-1966 | 01-Sep-2019,19.555 | 21.402,0.000279 | 0.000114,1,01-Dec-1980,17.994,2.2e-05
RETAILx,1,1,1,1,01-Feb-1987,22.577,2e-06,1,01-Nov-1987,24.754,1e-06,1,01-Feb-1987,13.191,0.000281,1,01-Nov-1987,16.803,4.1e-05,0,,,,0,,,
INDPRO,1,1,1,1,01-Jan-1984,30.233,0,1,01-Jan-1984,28.809,0,1,01-Jan-1984,31.72,0,1,01-Jan-1984,29.634,0,1,01-Jan-1984,8.846,0.002938,0,,,
IPFPNSS,1,1,1,3,01-Feb-1983 | 01-Apr-1989 | 01-Mar-1992,25.309 | 14.249 | 9.046,0 | 0.00016 | 0.002633,1,01-Jan-1984,18.687,1.5e-05,4,01-Feb-1983 | 01-Apr-1989 | 01-Jun-1995 | 01-Oct-2001,24.001 | 2.886 | 0.081 | 4.976,1e-06 | 0.089329 | 0.77639 | 0.025704,2,01-Jan-1984 | 01-Jan-2000,16 | 3.138,6.3e-05 | 0.076474,0,,,,0,,,
IPFINAL,1,1,1,2,01-Feb-1983 | 01-Apr-1989,27.49 | 12.028,0 | 0.000524,2,01-Feb-1983 | 01-Apr-1989,23.245 | 11.229,1e-06 | 0.000805,3,01-Feb-1983 | 01-Apr-1989 | 01-Jan-2000,27.057 | 11.915 | 6.162,0 | 0.000557 | 0.01305,4,01-Feb-1983 | 01-Apr-1989 | 01-Nov-1998 | 01-Apr-2006,25.492 | 10.012 | 6.103 | 11.118,0 | 0.001555 | 0.013495 | 0.000855,0,,,,0,,,
IPCONGD,1,1,1,1,01-Sep-1975,9.387,0.002185,0,,,,2,01-Sep-1975 | 01-Oct-2000,9.905 | 6.721,0.001648 | 0.00953,1,01-Sep-1975,10.298,0.001331,0,,,,0,,,
IPDCONGD,1,1,1,0,,,,0,,,,1,01-Apr-1965,12.067,0.010125,1,01-Feb-1982,6.034,0.014033,0,,,,0,,,
IPNCONGD,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
IPBUSEQ,1,1,1,1,01-Oct-1982,19.029,1.3e-05,1,01-Dec-1982,21.106,4e-06,1,01-Oct-1982,14.439,0.000145,1,01-Dec-1982,17.172,3.4e-05,0,,,,0,,,
IPMAT,1,1,1,1,01-Apr-1965,8.132,0.00435,1,01-Mar-1983,60.552,0,1,01-Jan-1984,35.042,0,1,01-Mar-1983,36.287,0,1,01-Apr-1965,15.804,0.001709,2,01-Mar-1983 | 01-Sep-2019,31.582 | 10.117,0 | 0.025214
IPDMAT,1,1,1,1,01-Apr-1965,5.518,0.018823,1,01-Jan-1983,38.176,0,2,01-Apr-1965 | 01-Feb-1984,3.129 | 30.184,0.076901 | 0,1,01-Jan-1983,43.154,0,1,01-Apr-1965,14.912,0.00262,1,01-Jan-1983,15.249,9.4e-05
IPNMAT,1,1,1,2,01-Jan-1984 | 01-Jun-1993,18.949 | 7.11,1.3e-05 | 0.007664,3,01-Jun-1965 | 01-Jan-1983 | 01-Jun-1993,1.26 | 13.097 | 7.174,0.26157 | 0.000296 | 0.007396,1,01-Jan-1984,15.329,9e-05,1,01-Jan-1983,14.709,0.000125,0,,,,0,,,
IPMANSICS,1,1,1,1,01-Oct-1983,25.232,1e-06,1,01-Jan-1984,29.544,0,1,01-Feb-1984,28.262,0,1,01-Jan-1984,32.882,0,0,,,,0,,,
IPB51222S,1,1,1,1,01-Aug-1973,89.147,0,2,01-Dec-1966 | 01-Nov-1973,15.827 | 36.564,6.9e-05 | 0,1,01-Aug-1973,108.98,0,2,01-Dec-1966 | 01-Nov-1973,15.684 | 46.662,7.5e-05 | 0,2,01-Aug-1973 | 01-Oct-2015,125.643 | 9.818,0 | 0.001728,2,01-Nov-1973 | 01-Sep-2009,110.482 | 18.696,0 | 1.5e-05
IPFUELS,1,1,1,1,01-Dec-1992,20.706,5e-06,2,01-Feb-1974 | 01-Sep-1986,19.214 | 21.476,1.2e-05 | 4e-06,0,,,,0,,,,0,,,,0,,,
CUMFNS,1,1,1,1,01-Feb-1984,28.312,0,1,01-Apr-1982,27.023,0,1,01-Feb-1984,30.63,0,1,01-Apr-1982,33.999,0,1,01-Feb-1984,10.176,0.001422,0,,,
HWI,1,1,1,2,01-May-1969 | 01-Sep-1993,30.751 | 14.531,0 | 0.000138,2,01-Sep-1968 | 01-Dec-1993,47.988 | 14.864,0 | 0.000116,2,01-May-1969 | 01-Oct-1995,34.668 | 34.565,0 | 0,2,01-Aug-1977 | 01-Apr-1995,20.214 | 26.625,7e-06 | 0,3,01-May-1969 | 01-Oct-1995 | 01-Oct-2019,34.802 | 60.771 | 29.826,0 | 0 | 0,3,01-Jan-1979 | 01-May-1997 | 01-Nov-2019,26.557 | 39.725 | 20.284,0 | 0 | 7e-06
HWIURATIO,1,1,1,2,01-Jan-1975 | 01-Oct-1993,14.676 | 8.555,0.000128 | 0.003446,3,01-Jul-1967 | 01-Feb-1975 | 01-Oct-1993,5.154 | 12.239 | 3.836,0.023196 | 0.000468 | 0.05017,0,,,,0,,,,2,01-Jan-2014 | 01-Mar-2020,17.357 | 17.907,0.000809 | 2.3e-05,5,01-May-1975 | 01-Oct-2007 | 01-May-2014 | 01-Sep-2015 | 01-Jun-2020,5.712 | 25.298 | 25.075 | 4.473 | 13.368,0.01685 | 0 | 1e-06 | 0.034439 | 0.000256
CLF16OV,1,1,1,3,01-Aug-1968 | 01-Oct-1983 | 01-Sep-1993,4.67 | 8.923 | 5.46,0.030687 | 0.002816 | 0.019459,3,01-Sep-1965 | 01-Oct-1983 | 01-Sep-1993,4.192 | 17.824 | 3.908,0.040604 | 2.4e-05 | 0.048045,2,01-Aug-1968 | 01-Oct-1983,4.484 | 21.415,0.034223 | 4e-06,2,01-Sep-1965 | 01-Oct-1983,4.097 | 28.306,0.042963 | 0,1,01-Jul-1975,15.982,6.4e-05,2,01-Aug-1983 | 01-Nov-2019,36.478 | 13.573,0 | 0.004962
CE16OV,1,1,1,2,01-Oct-1965 | 01-Feb-1992,6.037 | 36.648,0.014013 | 0,2,01-Jul-1965 | 01-Mar-1992,6.507 | 28.194,0.010745 | 0,2,01-Oct-1965 | 01-Aug-1984,4.717 | 14.541,0.029867 | 0.000137,2,01-Oct-1965 | 01-Feb-1986,5.404 | 11.756,0.020089 | 0.000606,0,,,,0,,,
UNRATE,1,1,1,1,01-Jul-1984,15.643,7.6e-05,1,01-Dec-1986,18.146,2e-05,1,01-Jul-1984,19.414,1.1e-05,1,01-Feb-1986,13.395,0.000252,0,,,,0,,,
UEMPMEAN,1,1,1,0,,,,1,01-Aug-1965,11.311,0.00077,0,,,,2,01-Jun-1966 | 01-Nov-1974,19.508 | 10.845,1e-05 | 0.000991,3,01-Jul-2008 | 01-Jan-2018 | 01-May-2024,49.488 | 10.641 | 9.652,0 | 0.001106 | 0.001892,3,01-Sep-2008 | 01-Mar-2018 | 01-Jul-2024,50.732 | 10.664 | 9.723,0 | 0.001092 | 0.00182
UEMPLT5,1,1,1,3,01-May-1965 | 01-Feb-1985 | 01-Sep-1993,5.261 | 29.624 | 32.277,0.021811 | 0 | 0,2,01-Nov-1983 | 01-Aug-1993,55.423 | 15.816,0 | 7e-05,0,,,,3,01-Apr-1970 | 01-Sep-1984 | 01-Jul-1993,7.761 | 27.084 | 33.116,0.00534 | 0 | 0,0,,,,0,,,
UEMP5TO14,1,1,1,1,01-Jan-1975,14.98,0.000109,1,01-Dec-1980,25.71,0,1,01-Jan-1975,13.698,0.000215,1,01-Jul-1975,17.385,3.1e-05,0,,,,0,,,
UEMP15OV,1,1,1,1,01-Jun-1976,14.329,0.000153,1,01-Mar-1971,20.907,5e-06,1,01-Jun-1976,15.085,0.000103,1,01-Feb-1971,17.158,3.4e-05,0,,,,1,01-Nov-2019,9.504,0.03349
UEMP15T26,1,1,1,1,01-Feb-1971,19.662,9e-06,1,01-Jul-1976,23.835,1e-06,1,01-Feb-1971,24.997,1e-06,1,01-Dec-1970,20.962,5e-06,1,01-Sep-2019,9.062,0.041057,0,,,
UEMP27OV,1,1,1,1,01-Jul-1976,27.601,0,1,01-Apr-1980,36.215,0,1,01-Jul-1976,24.475,1e-06,1,01-Jun-1976,27.659,0,1,01-Jul-1976,18.503,1.7e-05,4,01-Jun-1980 | 01-Dec-1997 | 01-Jun-2009 | 01-Oct-2019,36.611 | 17.075 | 28.48 | 21.48,0 | 3.6e-05 | 0 | 4e-06
CLAIMSx,1,1,1,2,01-Sep-1983 | 01-Dec-1992,10.349 | 7.993,0.001296 | 0.004696,2,01-Jan-1984 | 01-Dec-1992,11.584 | 7.633,0.000665 | 0.00573,1,01-Apr-1984,18.452,1.7e-05,1,01-Sep-1983,18.445,1.7e-05,0,,,,0,,,
PAYEMS,1,1,1,4,01-Oct-1974 | 01-Feb-1984 | 01-May-1990 | 01-Sep-1992,2.002 | 27.435 | 13.305 | 16.829,0.1571 | 0 | 0.000265 | 4.1e-05,1,01-Sep-1983,57.575,0,1,01-Jul-1984,38.461,0,1,01-Sep-1983,63.021,0,0,,,,0,,,
USGOOD,1,1,1,3,01-Nov-1983 | 01-Jan-1990 | 01-Feb-1992,38.978 | 15.806 | 19.083,0 | 7e-05 | 1.3e-05,1,01-Jul-1983,67.37,0,2,01-Jun-1984 | 01-Jan-2001,50.766 | 3.233,0 | 0.072167,1,01-Oct-1983,65.38,0,1,01-Jun-1984,11.954,0.000545,1,01-Jul-1983,15.733,7.3e-05
CES1021000001,1,1,1,3,01-Jul-1976 | 01-Feb-1983 | 01-Aug-1989,5.42 | 6.896 | 3.717,0.019902 | 0.008641 | 0.053863,1,01-Sep-1986,14.544,0.000137,2,01-Sep-1986 | 01-Sep-2001,16.458 | 2.284,5e-05 | 0.13071,3,01-Sep-1986 | 01-Mar-1994 | 01-Jul-2001,13.062 | 3.399 | 1.596,0.000301 | 0.065221 | 0.20646,0,,,,2,01-Nov-1974 | 01-Oct-1981,4.509 | 18.259,0.033718 | 0.000523
USCONS,1,1,1,3,01-Aug-1983 | 01-Oct-1989 | 01-Feb-1992,25.215 | 19.58 | 25.591,1e-06 | 1e-05 | 0,2,01-Jun-1968 | 01-Mar-1984,5.7 | 38.191,0.016963 | 0,3,01-Sep-1983 | 01-Nov-1989 | 01-Feb-1996,26.105 | 4.21 | 9.204,0 | 0.040194 | 0.002415,1,01-Mar-1984,81.571,0,1,01-Jun-1984,25.771,0,1,01-Mar-1984,51.818,0
MANEMP,1,1,1,1,01-Apr-1984,45.653,0,1,01-Sep-1983,37.463,0,1,01-Apr-1984,36.114,0,2,01-May-1983 | 01-Oct-1989,50.527 | 6.603,0 | 0.010183,1,01-Apr-1984,17.037,3.7e-05,1,01-May-1983,12.537,0.000399
DMANEMP,1,1,1,3,01-Nov-1982 | 01-Aug-1989 | 01-Jan-1992,21.825 | 7.109 | 18.733,3e-06 | 0.00767 | 1.5e-05,1,01-Nov-1983,32.057,0,3,01-Jul-1984 | 01-Jun-1997 | 01-Aug-2003,48.684 | 5.735 | 11.192,0 | 0.01663 | 0.000821,3,01-May-1983 | 01-Dec-1989 | 01-Jun-2001,47.298 | 5.209 | 3.215,0 | 0.022466 | 0.072986,1,01-Apr-1984,21.687,3e-06,1,01-Sep-1983,15.31,9.1e-05
NDMANEMP,1,1,1,2,01-Jul-1974 | 01-Nov-1982,4.501 | 11.806,0.03388 | 0.00059,2,01-Sep-1974 | 01-Aug-1982,5.898 | 19.501,0.015162 | 1e-05,4,01-Jul-1974 | 01-Apr-1984 | 01-Dec-1997 | 01-Feb-2004,4.225 | 17.498 | 11.244 | 5.722,0.039827 | 2.9e-05 | 0.000799 | 0.016753,2,01-Sep-1974 | 01-Aug-1982,5.713 | 17.446,0.01684 | 3e-05,0,,,,0,,,
