series_name,include_main_hist,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist
RPI,1,0,,,,0,,,
W875RX1,1,0,,,,0,,,
DPCERA3M086SBEA,1,1,01-Feb-1987,28.64,0,1,01-Feb-1987,29.383,0
CMRMTSPLx,1,2,01-Aug-1966 | 01-Sep-1992,27.23 | 20.608,0 | 6e-06,1,01-Oct-1980,16.972,3.8e-05
RETAILx,1,1,01-Feb-1987,22.577,2e-06,1,01-Nov-1987,24.754,1e-06
INDPRO,1,1,01-Jan-1984,30.233,0,1,01-Jan-1984,28.809,0
IPFPNSS,1,3,01-Feb-1983 | 01-Apr-1989 | 01-Mar-1992,25.309 | 14.249 | 9.046,0 | 0.00016 | 0.002633,1,01-Jan-1984,18.687,1.5e-05
IPFINAL,1,2,01-Feb-1983 | 01-Apr-1989,27.49 | 12.028,0 | 0.000524,2,01-Feb-1983 | 01-Apr-1989,23.245 | 11.229,1e-06 | 0.000805
IPCONGD,1,1,01-Sep-1975,9.387,0.002185,0,,,
IPDCONGD,1,0,,,,0,,,
IPNCONGD,1,0,,,,0,,,
IPBUSEQ,1,1,01-Oct-1982,19.029,1.3e-05,1,01-Dec-1982,21.106,4e-06
IPMAT,1,1,01-Apr-1965,8.132,0.00435,1,01-Mar-1983,60.552,0
IPDMAT,1,1,01-Apr-1965,5.518,0.018823,1,01-Jan-1983,38.176,0
IPNMAT,1,2,01-Jan-1984 | 01-Jun-1993,18.949 | 7.11,1.3e-05 | 0.007664,3,01-Jun-1965 | 01-Jan-1983 | 01-Jun-1993,1.26 | 13.097 | 7.174,0.26157 | 0.000296 | 0.007396
IPMANSICS,1,1,01-Oct-1983,25.232,1e-06,1,01-Jan-1984,29.544,0
IPB51222S,1,1,01-Aug-1973,89.147,0,2,01-Dec-1966 | 01-Nov-1973,15.827 | 36.564,6.9e-05 | 0
IPFUELS,1,1,01-Dec-1992,20.706,5e-06,2,01-Feb-1974 | 01-Sep-1986,19.214 | 21.476,1.2e-05 | 4e-06
CUMFNS,1,1,01-Feb-1984,28.312,0,1,01-Apr-1982,27.023,0
HWI,1,2,01-May-1969 | 01-Sep-1993,30.751 | 14.531,0 | 0.000138,2,01-Sep-1968 | 01-Dec-1993,47.988 | 14.864,0 | 0.000116
HWIURATIO,1,2,01-Jan-1975 | 01-Oct-1993,14.676 | 8.555,0.000128 | 0.003446,3,01-Jul-1967 | 01-Feb-1975 | 01-Oct-1993,5.154 | 12.239 | 3.836,0.023196 | 0.000468 | 0.05017
CLF16OV,1,3,01-Aug-1968 | 01-Oct-1983 | 01-Sep-1993,4.67 | 8.923 | 5.46,0.030687 | 0.002816 | 0.019459,3,01-Sep-1965 | 01-Oct-1983 | 01-Sep-1993,4.192 | 17.824 | 3.908,0.040604 | 2.4e-05 | 0.048045
CE16OV,1,2,01-Oct-1965 | 01-Feb-1992,6.037 | 36.648,0.014013 | 0,2,01-Jul-1965 | 01-Mar-1992,6.507 | 28.194,0.010745 | 0
UNRATE,1,1,01-Jul-1984,15.643,7.6e-05,1,01-Dec-1986,18.146,2e-05
UEMPMEAN,1,0,,,,1,01-Aug-1965,11.311,0.00077
UEMPLT5,1,3,01-May-1965 | 01-Feb-1985 | 01-Sep-1993,5.261 | 29.624 | 32.277,0.021811 | 0 | 0,2,01-Nov-1983 | 01-Aug-1993,55.423 | 15.816,0 | 7e-05
UEMP5TO14,1,1,01-Jan-1975,14.98,0.000109,1,01-Dec-1980,25.71,0
UEMP15OV,1,1,01-Jun-1976,14.329,0.000153,1,01-Mar-1971,20.907,5e-06
UEMP15T26,1,1,01-Feb-1971,19.662,9e-06,1,01-Jul-1976,23.835,1e-06
UEMP27OV,1,1,01-Jul-1976,27.601,0,1,01-Apr-1980,36.215,0
CLAIMSx,1,2,01-Sep-1983 | 01-Dec-1992,10.349 | 7.993,0.001296 | 0.004696,2,01-Jan-1984 | 01-Dec-1992,11.584 | 7.633,0.000665 | 0.00573
PAYEMS,1,4,01-Oct-1974 | 01-Feb-1984 | 01-May-1990 | 01-Sep-1992,2.002 | 27.435 | 13.305 | 16.829,0.1571 | 0 | 0.000265 | 4.1e-05,1,01-Sep-1983,57.575,0
USGOOD,1,3,01-Nov-1983 | 01-Jan-1990 | 01-Feb-1992,38.978 | 15.806 | 19.083,0 | 7e-05 | 1.3e-05,1,01-Jul-1983,67.37,0
CES1021000001,1,3,01-Jul-1976 | 01-Feb-1983 | 01-Aug-1989,5.42 | 6.896 | 3.717,0.019902 | 0.008641 | 0.053863,1,01-Sep-1986,14.544,0.000137
USCONS,1,3,01-Aug-1983 | 01-Oct-1989 | 01-Feb-1992,25.215 | 19.58 | 25.591,1e-06 | 1e-05 | 0,2,01-Jun-1968 | 01-Mar-1984,5.7 | 38.191,0.016963 | 0
MANEMP,1,1,01-Apr-1984,45.653,0,1,01-Sep-1983,37.463,0
DMANEMP,1,3,01-Nov-1982 | 01-Aug-1989 | 01-Jan-1992,21.825 | 7.109 | 18.733,3e-06 | 0.00767 | 1.5e-05,1,01-Nov-1983,32.057,0
NDMANEMP,1,2,01-Jul-1974 | 01-Nov-1982,4.501 | 11.806,0.03388 | 0.00059,2,01-Sep-1974 | 01-Aug-1982,5.898 | 19.501,0.015162 | 1e-05
SRVPRD,1,1,01-Mar-1992,48.612,0,2,01-Oct-1983 | 01-Jul-1991,6.597 | 3.443,0.010216 | 0.063511
USTPU,1,1,01-Sep-1992,22.079,3e-06,1,01-Jul-1965,9.203,0.002416
USWTRADE,1,1,01-Mar-1993,43.078,0,1,01-Feb-1991,24.495,1e-06
USTRADE,1,1,01-Sep-1992,35.718,0,1,01-Jan-1968,9.929,0.001627
USFIRE,1,1,01-Jun-1966,49.605,0,2,01-Jan-1966 | 01-Apr-1980,18.878 | 13.358,1.4e-05 | 0.000257
