series_name,tcode,adf_reject_H0_unit_root,adf_stat,adf_pval,kpss_stat,kpss_reject_H0_stationary,status
CES0600000007,1,0,0.104933649388581,0.690240057166584,3.4836865251884,1,nonstationary
AWHMAN,1,0,0.0819798869819478,0.681831572250546,3.57418528275679,1,nonstationary
CLF16OV,5,1,-28.0285173850419,0.001,2.50304740958079,1,ambiguous
PAYEMS,5,1,-25.0833220776192,0.001,0.68803065483251,1,ambiguous
NDMANEMP,5,1,-11.2351228518149,0.001,0.649333016550621,1,ambiguous
SRVPRD,5,1,-24.7384406112369,0.001,1.37987100555607,1,ambiguous
USTPU,5,1,-24.9302514342502,0.001,1.15139811303194,1,ambiguous
USWTRADE,5,1,-9.00121893321527,0.001,1.39929364779217,1,ambiguous
USTRADE,5,1,-26.5795452925835,0.001,2.10419433797213,1,ambiguous
USFIRE,5,1,-5.15462360649806,0.001,3.1734017310175,1,ambiguous
USGOVT,5,1,-19.9893994541271,0.001,3.578858959654,1,ambiguous
