window,measure,sample,n_series,share_0b,share_1b,share_2plus,share_3plus,median_breaks
1959:03-1999:12,UV,full_lm,31,0.0645161290322581,0.451612903225806,0.483870967741935,0.290322580645161,1
1959:03-1999:12,UV,restricted_lm,20,0.1,0.45,0.45,0.25,1
1959:03-1999:12,CV,full_lm,31,0.032258064516129,0.645161290322581,0.32258064516129,0.0645161290322581,1
1959:03-1999:12,CV,restricted_lm,20,0.05,0.65,0.3,0.05,1
1959:03-2007:12,UV,full_lm,31,0.129032258064516,0.419354838709677,0.451612903225806,0.225806451612903,1
1959:03-2007:12,UV,restricted_lm,20,0.15,0.45,0.4,0.1,1
1959:03-2007:12,CV,full_lm,31,0.0967741935483871,0.483870967741935,0.419354838709677,0.129032258064516,1
1959:03-2007:12,CV,restricted_lm,20,0.05,0.5,0.45,0.2,1
1959:03-2026:01,UV,full_lm,31,0.548387096774194,0.32258064516129,0.129032258064516,0.0967741935483871,0
1959:03-2026:01,UV,restricted_lm,20,0.4,0.45,0.15,0.1,1
1959:03-2026:01,CV,full_lm,31,0.548387096774194,0.258064516129032,0.193548387096774,0.129032258064516,0
1959:03-2026:01,CV,restricted_lm,20,0.35,0.4,0.25,0.2,1
