series_name,excluded,stat_status_full,include_hist,include_2007,include_full,uv_nbreaks_hist,uv_nbreaks_2007,uv_nbreaks_full,cv_nbreaks_hist,cv_nbreaks_2007,cv_nbreaks_full
HWI,0,OK,1,1,1,2,2,3,2,2,3
HWIURATIO,0,OK,1,1,1,2,0,2,3,0,5
CLF16OV,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
CE16OV,0,OK,1,1,1,2,2,0,2,2,0
UNRATE,0,OK,1,1,1,1,1,0,1,1,0
UEMPMEAN,0,OK,1,1,1,0,0,3,1,2,3
UEMPLT5,0,OK,1,1,1,3,0,0,2,3,0
UEMP5TO14,0,OK,1,1,1,1,1,0,1,1,0
UEMP15OV,0,OK,1,1,1,1,1,0,1,1,1
UEMP15T26,0,OK,1,1,1,1,1,1,1,1,0
UEMP27OV,0,OK,1,1,1,1,1,1,1,1,4
CLAIMSx,0,OK,1,1,1,2,1,0,2,1,0
PAYEMS,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USGOOD,0,OK,1,1,1,3,2,1,1,1,1
CES1021000001,0,OK,1,1,1,3,2,0,1,3,2
USCONS,0,OK,1,1,1,3,3,1,2,1,1
MANEMP,0,OK,1,1,1,1,1,1,1,2,1
DMANEMP,0,OK,1,1,1,3,3,1,1,3,1
NDMANEMP,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
SRVPRD,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USTPU,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USWTRADE,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USTRADE,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USFIRE,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
USGOVT,1,ambiguous,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
CES0600000007,1,nonstationary,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
AWOTMAN,0,OK,1,1,1,0,1,0,0,1,0
AWHMAN,1,nonstationary,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
CES0600000008,0,OK,1,1,1,1,2,1,1,3,1
CES2000000008,0,OK,1,1,1,1,2,1,1,2,1
CES3000000008,0,OK,1,1,1,1,1,1,1,1,1
