series_name,include_main_mod,include_cv_mod,uvmod_mb_nbreaks,uvmod_mb_break_dates,uvmod_mb_break_stats,uvmod_mb_break_pvals,cvmod_mb_nbreaks,cvmod_mb_break_dates,cvmod_mb_break_stats,cvmod_mb_break_pvals
RPI,1,1,0,,,,2,01-Jul-2016 | 01-Sep-2022,2.052 | 4.27,0.15203 | 0.038802
W875RX1,1,1,0,,,,0,,,
DPCERA3M086SBEA,1,1,0,,,,0,,,
CMRMTSPLx,1,1,0,,,,0,,,
RETAILx,1,1,0,,,,0,,,
INDPRO,1,1,0,,,,0,,,
IPFPNSS,1,1,0,,,,0,,,
IPFINAL,1,1,0,,,,0,,,
IPCONGD,1,1,0,,,,0,,,
IPDCONGD,1,1,0,,,,1,01-Sep-2019,4.133,0.042063
IPNCONGD,1,1,0,,,,0,,,
IPBUSEQ,1,1,0,,,,0,,,
IPMAT,1,1,0,,,,0,,,
IPDMAT,1,1,0,,,,0,,,
IPNMAT,1,1,1,01-Nov-2019,2.682,0.10148,1,01-Nov-2019,2.777,0.095618
IPMANSICS,1,1,0,,,,0,,,
IPB51222S,1,1,0,,,,2,01-Aug-2009 | 01-Oct-2015,4.481 | 1.497,0.034281 | 0.2212
IPFUELS,1,1,0,,,,0,,,
CUMFNS,1,1,0,,,,0,,,
HWI,1,1,1,01-Oct-2019,29.024,0,1,01-Nov-2019,33.325,0
HWIURATIO,1,1,4,01-Dec-2001 | 01-Apr-2009 | 01-Mar-2014 | 01-Mar-2020,11.813 | 41.771 | 28.985 | 17.244,0.000588 | 0 | 0 | 3.3e-05,5,01-Feb-2002 | 01-Aug-2004 | 01-Jul-2009 | 01-Jun-2014 | 01-Jun-2020,41.67 | 10.467 | 43.669 | 28.069 | 17.541,0 | 0.001215 | 0 | 0 | 2.8e-05
CLF16OV,1,1,0,,,,0,,,
CE16OV,1,1,0,,,,0,,,
UNRATE,1,1,0,,,,0,,,
UEMPMEAN,1,1,3,01-Jul-2008 | 01-Jan-2018 | 01-May-2024,32.693 | 10.677 | 9.762,0 | 0.001085 | 0.001781,3,01-Jun-2005 | 01-Nov-2011 | 01-Mar-2018,14.255 | 0.968 | 10.62,0.00016 | 0.32508 | 0.001119
UEMPLT5,1,1,0,,,,0,,,
UEMP5TO14,1,1,0,,,,1,01-Nov-2019,8.895,0.002859
UEMP15OV,1,1,0,,,,1,01-Nov-2019,5.738,0.016598
UEMP15T26,1,1,0,,,,1,01-Nov-2019,5.567,0.018307
UEMP27OV,1,1,0,,,,1,01-Oct-2019,13.545,0.000233
CLAIMSx,1,1,0,,,,0,,,
PAYEMS,1,1,0,,,,0,,,
USGOOD,1,1,0,,,,0,,,
CES1021000001,1,1,2,01-Dec-2014 | 01-Oct-2022,6.441 | 16.585,0.011154 | 4.7e-05,1,01-Oct-2007,9.039,0.002643
USCONS,1,1,1,01-Dec-2006,2.561,0.10954,1,01-Mar-2010,1.619,0.20326
MANEMP,1,1,0,,,,0,,,
DMANEMP,1,1,0,,,,0,,,
NDMANEMP,1,1,0,,,,0,,,
SRVPRD,1,1,0,,,,0,,,
USTPU,1,1,0,,,,0,,,
USWTRADE,1,1,0,,,,0,,,
USTRADE,1,1,0,,,,0,,,
USFIRE,1,1,0,,,,0,,,
USGOVT,1,1,0,,,,0,,,
CES0600000007,1,1,1,01-Sep-2019,22.455,2e-06,0,,,
AWOTMAN,1,1,0,,,,0,,,
AWHMAN,1,1,4,01-Feb-2001 | 01-Aug-2003 | 01-Jan-2013 | 01-Mar-2019,67.882 | 16.887 | 16.62 | 36.261,0 | 4e-05 | 4.6e-05 | 0,0,,,
HOUST,1,1,5,01-Dec-2001 | 01-Jul-2006 | 01-Oct-2008 | 01-Jul-2012 | 01-Oct-2019,53.803 | 29.724 | 133.87 | 198.251 | 0.65,0 | 0 | 0 | 0 | 0.42002,1,01-Dec-2005,6.556,0.010451
HOUSTNE,1,1,4,01-May-2003 | 01-Jan-2007 | 01-Sep-2008 | 01-Jun-2015,33.463 | 25.288 | 18.666 | 23.095,0 | 0 | 1.6e-05 | 2e-06,1,01-Apr-2008,45.352,0
HOUSTMW,1,1,1,01-Aug-2012,101.461,0,1,01-Jan-2007,24.126,1e-06
HOUSTS,1,1,5,01-Dec-2001 | 01-Apr-2008 | 01-Jun-2014 | 01-Oct-2019 | 01-Apr-2024,15.016 | 15.987 | 69.198 | 52.413 | 20.665,0.000107 | 6.4e-05 | 0 | 0 | 5e-06,1,01-Oct-2008,9.624,0.00192
HOUSTW,1,1,5,01-Jan-2002 | 01-Jun-2006 | 01-Sep-2008 | 01-Nov-2012 | 01-Sep-2019,66.882 | 27.007 | 78.265 | 129.839 | 0.239,0 | 0 | 0 | 0 | 0.62494,1,01-Jan-2009,26.995,0
PERMIT,1,1,5,01-Nov-2001 | 01-Jul-2006 | 01-Sep-2008 | 01-Jul-2012 | 01-Sep-2019,58.575 | 26.388 | 125.826 | 190.755 | 2.057,0 | 0 | 0 | 0 | 0.15146,2,01-Apr-2007 | 01-Aug-2015,16.995 | 4.351,3.7e-05 | 0.036979
PERMITNE,1,1,5,01-Nov-2001 | 01-Apr-2007 | 01-May-2008 | 01-Feb-2013 | 01-Sep-2019,20.086 | 71.245 | 191.925 | 124.326 | 0.039,7e-06 | 0 | 0 | 0 | 0.84403,1,01-May-2008,27.968,0
PERMITMW,1,1,5,01-Mar-2006 | 01-Oct-2008 | 01-Sep-2012 | 01-Apr-2015 | 01-Apr-2024,42.204 | 85.048 | 150.642 | 71.214 | 26.47,0 | 0 | 0 | 0 | 0,1,01-Dec-2007,18.13,2.1e-05
PERMITS,1,1,5,01-Jan-2003 | 01-Aug-2008 | 01-Aug-2013 | 01-Nov-2014 | 01-Jun-2020,21.194 | 20.786 | 60.813 | 96.465 | 60.089,4e-06 | 5e-06 | 0 | 0 | 0,1,01-Apr-2006,10.321,0.001315
PERMITW,1,1,5,01-Jul-2002 | 01-Sep-2008 | 01-Nov-2012 | 01-Sep-2014 | 01-Mar-2024,11.566 | 36.961 | 111.842 | 24.179 | 29.176,0.000672 | 0 | 0 | 1e-06 | 0,2,01-Sep-2007 | 01-Sep-2017,38.711 | 12.63,0 | 0.00038
ACOGNO,1,1,0,,,,0,,,
AMDMNOx,1,1,0,,,,0,,,
ANDENOx,1,1,1,01-Jun-2012,12.388,0.000432,1,01-Oct-2008,16.48,4.9e-05
AMDMUOx,1,1,5,01-Apr-2005 | 01-Dec-2009 | 01-Oct-2011 | 01-Sep-2018 | 01-Apr-2020,16.551 | 47.877 | 13.322 | 16.973 | 28.383,4.7e-05 | 0 | 0.000262 | 3.8e-05 | 0,1,01-Nov-2014,10.1,0.001482
BUSINVx,1,1,0,,,,0,,,
ISRATIOx,1,1,0,,,,0,,,
M1SL,1,1,0,,,,1,01-Jul-2008,0.947,0.33057
M2SL,1,1,0,,,,0,,,
M2REAL,1,1,0,,,,0,,,
BOGMBASE,1,1,2,01-Aug-2008 | 01-May-2015,11.316 | 0.629,0.000769 | 0.42761,2,01-Aug-2008 | 01-Apr-2015,11.956 | 0.432,0.000545 | 0.51097
TOTRESNS,1,1,0,,,,0,,,
NONBORRES,1,1,0,,,,0,,,
BUSLOANS,1,1,0,,,,0,,,
REALLN,1,1,3,01-Jul-2006 | 01-Feb-2013 | 01-Oct-2019,2.083 | 13.236 | 0.456,0.14896 | 0.000275 | 0.49943,5,01-Jul-2006 | 01-Jul-2013 | 01-Nov-2015 | 01-Oct-2019 | 01-Sep-2023,1.876 | 15.385 | 8.833 | 13.815 | 21.568,0.17082 | 8.8e-05 | 0.002958 | 0.000202 | 3e-06
NONREVSL,1,1,0,,,,0,,,
CONSPI,1,1,0,,,,1,01-Nov-2019,1.628,0.20205
S&P 500,1,1,0,,,,0,,,
S&P div yield,1,1,0,,,,0,,,
S&P PE ratio,1,1,0,,,,0,,,
FEDFUNDS,1,1,0,,,,2,01-Mar-2009 | 01-Nov-2016,36.633 | 17.123,0 | 3.5e-05
CP3Mx,1,1,0,,,,3,01-Jul-2005 | 01-Sep-2011 | 01-Dec-2017,0.02 | 4.869 | 10.991,0.88853 | 0.027336 | 0.000915
TB3MS,1,1,4,01-Jun-2007 | 01-Feb-2009 | 01-Apr-2014 | 01-Jul-2015,20.181 | 54.374 | 23.639 | 15.094,7e-06 | 0 | 1e-06 | 0.002401,5,01-Mar-2002 | 01-Jun-2007 | 01-Mar-2009 | 01-Apr-2014 | 01-Jul-2015,12.04 | 43.225 | 74.565 | 28.171 | 13.561,0.000521 | 0 | 0 | 0 | 0.004991
TB6MS,1,1,5,01-Mar-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Jun-2010 | 01-May-2019,9.727 | 30.639 | 43.535 | 18.437 | 7.776,0.001816 | 0 | 0 | 0.00048 | 0.005296,4,01-Apr-2002 | 01-Jul-2007 | 01-Feb-2009 | 01-May-2019,18.976 | 85.418 | 14.304 | 10.27,1.3e-05 | 0 | 0.003503 | 0.001352
GS1,1,1,5,01-Feb-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Aug-2010 | 01-May-2019,11.807 | 35.265 | 50.754 | 23.673 | 12.177,0.00059 | 0 | 0 | 3.7e-05 | 0.000484,5,01-Feb-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Oct-2011 | 01-May-2019,17.39 | 54.107 | 83.558 | 0.845 | 15.628,3e-05 | 0 | 0 | 0.35796 | 7.7e-05
GS5,1,1,2,01-Aug-2011 | 01-May-2019,36.317 | 6.85,0 | 0.008864,4,01-Apr-2005 | 01-Aug-2011 | 01-Mar-2020 | 01-Dec-2021,0.031 | 13.661 | 13.624 | 27.905,0.86092 | 0.000219 | 0.000223 | 0
GS10,1,1,0,,,,0,,,
AAA,1,1,0,,,,0,,,
BAA,1,1,0,,,,0,,,
COMPAPFFx,1,1,0,,,,0,,,
TB3SMFFM,1,1,0,,,,5,01-Dec-2001 | 01-Apr-2007 | 01-Feb-2009 | 01-Mar-2015 | 01-Nov-2016,17.824 | 20.249 | 41.924 | 14.342 | 8.904,2.4e-05 | 7e-06 | 0 | 0.000152 | 0.002846
TB6SMFFM,1,1,0,,,,4,01-Mar-2002 | 01-Jul-2007 | 01-Feb-2009 | 01-Jul-2015,14.183 | 22.744 | 50.028 | 32.689,0.000166 | 2e-06 | 0 | 0
