series_name,include_main_full_ext,fred_group,uv_nbreaks,uv_break_dates,uv_break_stats,uv_break_pvals,cv_nbreaks,cv_break_dates,cv_break_stats,cv_break_pvals
RPI,1,Output and Income,0,,,,5,01-Jun-1968 | 01-Apr-1979 | 01-Mar-1994 | 01-May-2008 | 01-Sep-2022,0.672 | 0.493 | 1.53 | 10.426 | 12.947,0.41221 | 0.4827 | 0.21605 | 0.001243 | 0.00032
W875RX1,1,Output and Income,0,,,,2,01-Feb-1962 | 01-Jul-1972,10.423 | 20.647,0.001245 | 6e-06
DPCERA3M086SBEA,1,Orders and Inventories,0,,,,0,,,
CMRMTSPLx,1,Orders and Inventories,2,01-Mar-1969 | 01-Feb-1987,12.059 | 4.845,0.000516 | 0.02773,1,01-Dec-1980,17.994,2.2e-05
RETAILx,1,Orders and Inventories,0,,,,0,,,
INDPRO,1,Output and Income,1,01-Jan-1984,8.846,0.002938,0,,,
IPFPNSS,1,Output and Income,0,,,,0,,,
IPFINAL,1,Output and Income,0,,,,0,,,
IPCONGD,1,Output and Income,0,,,,0,,,
IPDCONGD,1,Output and Income,0,,,,0,,,
IPNCONGD,1,Output and Income,0,,,,0,,,
IPBUSEQ,1,Output and Income,0,,,,0,,,
IPMAT,1,Output and Income,1,01-Jan-1984,15.804,7e-05,2,01-Mar-1983 | 01-Jul-2008,48.823 | 6.843,0 | 0.008899
IPDMAT,1,Output and Income,1,01-Feb-1984,14.912,0.000113,1,01-Jan-1983,15.249,9.4e-05
IPNMAT,1,Output and Income,0,,,,0,,,
IPMANSICS,1,Output and Income,0,,,,0,,,
IPB51222S,1,Output and Income,2,01-Aug-1973 | 01-Oct-2015,125.643 | 9.818,0 | 0.001728,2,01-Nov-1973 | 01-Sep-2009,110.482 | 18.696,0 | 1.5e-05
IPFUELS,1,Output and Income,0,,,,0,,,
CUMFNS,1,Output and Income,1,01-Feb-1984,10.176,0.001422,0,,,
HWI,1,Labor Market,3,01-May-1969 | 01-Oct-1995 | 01-Jul-2014,34.802 | 47.27 | 19.641,0 | 0 | 9e-06,3,01-Jan-1979 | 01-Nov-1995 | 01-Jun-2014,22.666 | 33.039 | 16.801,2e-06 | 0 | 4.2e-05
HWIURATIO,1,Labor Market,2,01-Jan-1975 | 01-Jun-2015,8.17 | 20.975,0.004259 | 5e-06,5,01-Dec-1980 | 01-Jan-1996 | 01-Dec-2006 | 01-Sep-2015 | 01-Jun-2020,22.925 | 43.56 | 27.523 | 14.764 | 13.368,2e-06 | 0 | 0 | 0.000122 | 0.000256
CLF16OV,1,Labor Market,1,01-Jul-1975,15.982,6.4e-05,2,01-Aug-1969 | 01-Aug-1983,3.499 | 6.486,0.061413 | 0.010871
CE16OV,1,Labor Market,0,,,,0,,,
UNRATE,1,Labor Market,0,,,,0,,,
UEMPMEAN,1,Labor Market,2,01-Feb-2007 | 01-Aug-2017,43.981 | 10.644,0 | 0.001104,2,01-Apr-2007 | 01-Oct-2017,45.151 | 10.653,0 | 0.001099
UEMPLT5,1,Labor Market,0,,,,0,,,
UEMP5TO14,1,Labor Market,0,,,,0,,,
UEMP15OV,1,Labor Market,0,,,,1,01-Jan-2016,3.96,0.046586
UEMP15T26,1,Labor Market,1,01-Mar-2015,2.71,0.099721,0,,,
UEMP27OV,1,Labor Market,1,01-Jul-1976,18.503,1.7e-05,4,01-Jun-1980 | 01-Dec-1997 | 01-Dec-2007 | 01-Apr-2018,36.611 | 15.236 | 25.774 | 21.846,0 | 9.5e-05 | 0 | 3e-06
CLAIMSx,1,Labor Market,0,,,,0,,,
PAYEMS,1,Labor Market,0,,,,0,,,
USGOOD,1,Labor Market,1,01-Jun-1984,11.954,0.000545,1,01-Jul-1983,15.733,7.3e-05
CES1021000001,1,Labor Market,0,,,,2,01-Jun-1971 | 01-Oct-1981,5.867 | 12.693,0.015423 | 0.000367
USCONS,1,Labor Market,1,01-Jun-1984,25.771,0,1,01-Mar-1984,51.818,0
MANEMP,1,Labor Market,1,01-Apr-1984,17.037,3.7e-05,1,01-May-1983,12.537,0.000399
DMANEMP,1,Labor Market,1,01-Apr-1984,21.687,3e-06,1,01-Sep-1983,15.31,9.1e-05
NDMANEMP,1,Labor Market,0,,,,0,,,
SRVPRD,1,Labor Market,0,,,,0,,,
USTPU,1,Labor Market,0,,,,0,,,
USWTRADE,1,Labor Market,0,,,,0,,,
USTRADE,1,Labor Market,0,,,,0,,,
USFIRE,1,Labor Market,0,,,,0,,,
USGOVT,1,Labor Market,0,,,,0,,,
CES0600000007,1,Labor Market,5,01-Feb-1983 | 01-Mar-1993 | 01-Oct-2008 | 01-Apr-2020 | 01-May-2022,38.178 | 31.951 | 41.232 | 18.916 | 14.464,0 | 0 | 0 | 1.4e-05 | 0.000143,0,,,
AWOTMAN,1,Labor Market,0,,,,0,,,
AWHMAN,1,Labor Market,0,,,,0,,,
HOUST,1,Housing / Construction,5,01-Nov-1970 | 01-Mar-1987 | 01-May-2003 | 01-Nov-2015 | 01-Sep-2022,41.222 | 28.404 | 39.979 | 48.503 | 61.695,0 | 0 | 0 | 0 | 0,0,,,
HOUSTNE,1,Housing / Construction,5,01-Feb-1974 | 01-Sep-1984 | 01-Jan-1996 | 01-Feb-2008 | 01-Nov-2012,52.326 | 11.678 | 39.3 | 133.136 | 55.355,0 | 0.000632 | 0 | 0 | 0,1,01-Apr-2008,27.823,0
HOUSTMW,1,Housing / Construction,5,01-Dec-1982 | 01-Feb-1994 | 01-Nov-2007 | 01-Aug-2012 | 01-Jan-2016,63.819 | 54.47 | 152.553 | 39.41 | 27.768,0 | 0 | 0 | 0 | 0,3,01-Nov-1978 | 01-Mar-1991 | 01-Jan-2007,5.854 | 15.114 | 26.835,0.015546 | 0.000101 | 0
HOUSTS,1,Housing / Construction,0,,,,0,,,
HOUSTW,1,Housing / Construction,5,01-Dec-1970 | 01-Sep-1987 | 01-Feb-1998 | 01-Sep-2002 | 01-Nov-2013,10.301 | 40.248 | 8.645 | 43.925 | 42.457,0.00133 | 0 | 0.003279 | 0 | 0,1,01-May-2008,13.748,0.000209
PERMIT,1,Housing / Construction,5,01-Nov-1970 | 01-Mar-2003 | 01-Feb-2013 | 01-Jan-2015 | 01-Jul-2019,8.975 | 27.446 | 24.94 | 116.767 | 17.766,0.002737 | 0 | 1e-06 | 0 | 2.5e-05,3,01-Dec-1972 | 01-Apr-1991 | 01-Apr-2007,6.579 | 42.052 | 15.469,0.010318 | 0 | 8.4e-05
PERMITNE,1,Housing / Construction,5,01-Sep-1973 | 01-Feb-1996 | 01-Feb-2006 | 01-Jan-2016 | 01-Sep-2018,13.662 | 32.606 | 40.968 | 12.72 | 20.548,0.000219 | 0 | 0 | 0.000362 | 6e-06,2,01-Feb-1985 | 01-Feb-2008,21.367 | 27.095,4e-06 | 0
PERMITMW,1,Housing / Construction,5,01-Sep-1970 | 01-Apr-1983 | 01-Jun-1995 | 01-Jan-2008 | 01-Apr-2020,20.365 | 34.586 | 49.46 | 12.057 | 51.933,6e-06 | 0 | 0 | 0.000516 | 0,2,01-Jun-1990 | 01-Sep-2006,40.286 | 21.182,0 | 4e-06
PERMITS,1,Housing / Construction,5,01-Jun-1962 | 01-Aug-1976 | 01-Jul-1986 | 01-Jan-2002 | 01-Apr-2012,41.068 | 9.911 | 1.373 | 46.62 | 22.221,0 | 0.001643 | 0.24136 | 0 | 2e-06,2,01-May-1972 | 01-Apr-1984,14.343 | 19.944,0.000152 | 8e-06
PERMITW,1,Housing / Construction,5,01-Jan-1971 | 01-Jan-1987 | 01-Jul-2003 | 01-Jun-2013 | 01-May-2015,6.687 | 24.629 | 37.085 | 22.66 | 43.83,0.009709 | 1e-06 | 0 | 2e-06 | 0,0,,,
ACOGNO,0,Orders and Inventories,NaN,,,,NaN,,,
AMDMNOx,1,Orders and Inventories,0,,,,0,,,
ANDENOx,1,Orders and Inventories,2,01-Jan-1992 | 01-Jun-2010,11.88 | 19.403,0.000567 | 1.1e-05,4,01-May-1979 | 01-May-1988 | 01-Jan-1998 | 01-Aug-2008,1.393 | 0.668 | 3.13 | 19.448,0.23793 | 0.41363 | 0.076853 | 1e-05
AMDMUOx,1,Orders and Inventories,5,01-Apr-1979 | 01-Nov-1999 | 01-Dec-2009 | 01-Jul-2012 | 01-Jun-2020,25.042 | 13.519 | 28.728 | 18 | 12.052,1e-06 | 0.000236 | 0 | 2.2e-05 | 0.000518,1,01-Nov-2014,13.06,0.000302
BUSINVx,1,Orders and Inventories,5,01-Jun-1961 | 01-Aug-1964 | 01-Dec-1972 | 01-Dec-1974 | 01-Jan-1985,21.909 | 11.02 | 32.184 | 12.404 | 3.694,3e-06 | 0.000901 | 0 | 0.000428 | 0.054606,0,,,
ISRATIOx,1,Orders and Inventories,0,,,,0,,,
M1SL,1,Money and Credit,0,,,,0,,,
M2SL,1,Money and Credit,2,01-Jan-1970 | 01-Jan-2000,5.848 | 11.578,0.015598 | 0.000667,3,01-Jan-1970 | 01-Jun-1987 | 01-Jan-2000,21.453 | 7.559 | 18.832,4e-06 | 0.005971 | 1.4e-05
M2REAL,1,Money and Credit,2,01-Mar-1969 | 01-Mar-1983,30.59 | 6.246,0 | 0.012444,5,01-Feb-1970 | 01-Apr-1980 | 01-Jul-1983 | 01-Oct-1995 | 01-Oct-2005,8.786 | 10.638 | 27.535 | 3.433 | 3.23,0.003036 | 0.001108 | 0 | 0.063901 | 0.07231
BOGMBASE,1,Money and Credit,1,01-Aug-2008,20.762,5e-06,2,01-Aug-2008 | 01-Apr-2023,30.565 | 9.035,0 | 0.002648
TOTRESNS,1,Money and Credit,3,01-Dec-1971 | 01-Jan-1984 | 01-May-2001,15.118 | 3.68 | 4.969,0.000101 | 0.055057 | 0.025804,4,01-Oct-1978 | 01-Oct-1990 | 01-Apr-1993 | 01-Aug-2008,16.293 | 20.01 | 23.091 | 6.959,5.4e-05 | 8e-06 | 5e-05 | 0.008342
NONBORRES,1,Money and Credit,0,,,,0,,,
BUSLOANS,1,Money and Credit,0,,,,1,01-Jan-2016,3.086,0.078973
REALLN,1,Money and Credit,5,01-Sep-1986 | 01-Oct-1999 | 01-May-2010 | 01-Jul-2013 | 01-Sep-2023,7.411 | 16.081 | 11.896 | 2.741 | 22.286,0.006482 | 6.1e-05 | 0.000562 | 0.097813 | 2e-06,5,01-Nov-1986 | 01-Jul-1999 | 01-Feb-2010 | 01-Feb-2013 | 01-Aug-2023,2.636 | 22.059 | 14.261 | 5.691 | 21.048,0.10448 | 3e-06 | 0.000159 | 0.017052 | 4e-06
NONREVSL,1,Money and Credit,0,,,,0,,,
CONSPI,1,Money and Credit,0,,,,1,01-Nov-2015,6.484,0.010883
S&P 500,1,Stock Market,0,,,,0,,,
S&P div yield,1,Stock Market,3,01-Apr-1973 | 01-May-1983 | 01-Jun-1993,21.09 | 14.818 | 13.167,4e-06 | 0.000118 | 0.000285,3,01-Oct-1972 | 01-Nov-1982 | 01-Dec-1992,15.355 | 9.982 | 24.229,8.9e-05 | 0.001581 | 1e-06
S&P PE ratio,1,Stock Market,0,,,,0,,,
FEDFUNDS,1,Interest and Exchange Rates,5,01-Dec-1972 | 01-Jan-1983 | 01-Feb-1993 | 01-Oct-2005 | 01-Nov-2015,12.217 | 13.59 | 13.944 | 3.685 | 1.067,0.000474 | 0.000227 | 0.000188 | 0.054915 | 0.30152,5,01-Apr-1973 | 01-Apr-1983 | 01-Apr-1993 | 01-Aug-2006 | 01-Nov-2016,10.661 | 13.049 | 17.054 | 12.598 | 2.135,0.001094 | 0.000303 | 3.6e-05 | 0.000386 | 0.14401
CP3Mx,1,Interest and Exchange Rates,5,01-Dec-1972 | 01-Jan-1983 | 01-Feb-1993 | 01-Mar-2003 | 01-Apr-2013,18.747 | 13.29 | 17.189 | 0.87 | 0.443,1.5e-05 | 0.000267 | 3.4e-05 | 0.35096 | 0.50555,5,01-Jul-1973 | 01-Aug-1983 | 01-Jul-1993 | 01-Jun-2003 | 01-May-2013,18.083 | 13.281 | 20.746 | 2.227 | 0.599,2.1e-05 | 0.000268 | 5e-06 | 0.13561 | 0.43906
TB3MS,1,Interest and Exchange Rates,5,01-Aug-1966 | 01-Oct-1969 | 01-Sep-1982 | 01-Nov-1992 | 01-Feb-2009,10.483 | 16.836 | 13.199 | 5.662 | 12.286,0.001205 | 4.1e-05 | 0.00028 | 0.017333 | 0.000456,5,01-Jun-1966 | 01-May-1969 | 01-Nov-1982 | 01-Nov-1992 | 01-Feb-2009,7.713 | 18.269 | 20.757 | 6.258 | 14.975,0.005484 | 1.9e-05 | 5e-06 | 0.012364 | 0.000109
TB6MS,1,Interest and Exchange Rates,5,01-May-1973 | 01-Jun-1983 | 01-Dec-1994 | 01-Aug-2005 | 01-Oct-2015,15.071 | 13.795 | 11.459 | 3.826 | 0.746,0.000104 | 0.000204 | 0.000711 | 0.050469 | 0.38771,5,01-Feb-1973 | 01-Feb-1983 | 01-Feb-1993 | 01-Feb-2003 | 01-Oct-2015,20.723 | 20.397 | 8.294 | 11.643 | 0.396,5e-06 | 6e-06 | 0.003979 | 0.000644 | 0.52896
