spec,fred_group,measure,share_0b,share_1b,share_2plus,share_3plus,median_nbreaks,median_log_sigma_ratio,median_pct_change,share_moderating
baseline,Housing / Construction,UV,0.1,0,0.9,0.9,5,-0.413775518102555,-33.8850649330468,0.577777777777778
baseline,Housing / Construction,CV,0.3,0.2,0.5,0.2,1.5,0.320713215183522,37.8110303106267,0.357142857142857
baseline,Interest and Exchange Rates,UV,0,0.0952380952380952,0.904761904761905,0.80952380952381,5,0.200436963990669,22.1936583806388,0.488888888888889
baseline,Interest and Exchange Rates,CV,0,0.0476190476190476,0.952380952380952,0.904761904761905,5,-0.248438222222165,-21.9981952871681,0.556818181818182
baseline,Labor Market,UV,0.548387096774194,0.32258064516129,0.129032258064516,0.0967741935483871,0,-0.38943357791847,-32.2559516905734,0.565217391304348
baseline,Labor Market,CV,0.548387096774194,0.258064516129032,0.193548387096774,0.129032258064516,0,-0.301376890903759,-26.0201103277695,0.518518518518518
baseline,Money and Credit,UV,0.384615384615385,0.153846153846154,0.461538461538462,0.384615384615385,1,0.443179342822685,55.7651662939233,0.318181818181818
baseline,Money and Credit,CV,0.230769230769231,0.230769230769231,0.538461538461538,0.461538461538462,2,0.299954372616185,34.979721845518,0.285714285714286
baseline,Orders and Inventories,UV,0.5,0,0.5,0.25,1,-0.3434914789848,-29.0710475014503,0.571428571428571
baseline,Orders and Inventories,CV,0.625,0.25,0.125,0.125,0,-0.261431300490682,-23.005123128994,0.666666666666667
baseline,Output and Income,UV,0.6875,0.25,0.0625,0,0,-0.400140578653029,-32.9774180030289,0.666666666666667
baseline,Output and Income,CV,0.6875,0.0625,0.25,0.0625,0,0.355194021627688,42.6457391018989,0.416666666666667
baseline,Prices,UV,0.15,0.2,0.65,0.25,2,0.46828036919399,59.724515825331,0.395348837209302
baseline,Prices,CV,0.15,0.2,0.65,0.5,2.5,0.460012310671694,58.4093486129286,0.333333333333333
96mo,Housing / Construction,UV,0.1,0,0.9,0.9,5,-0.486202069197372,-38.5042469216941,0.577777777777778
96mo,Housing / Construction,CV,0.3,0.2,0.5,0.2,1.5,0.277278933144544,31.9534381581791,0.357142857142857
96mo,Interest and Exchange Rates,UV,0,0.0952380952380952,0.904761904761905,0.80952380952381,5,0.0506247709272225,5.19281052123077,0.49438202247191
96mo,Interest and Exchange Rates,CV,0,0.0476190476190476,0.952380952380952,0.904761904761905,5,-0.222160292071987,-19.9213005759947,0.529411764705882
96mo,Labor Market,UV,0.548387096774194,0.32258064516129,0.129032258064516,0.0645161290322581,0,-0.372436567370652,-31.0946641362062,0.590909090909091
96mo,Labor Market,CV,0.548387096774194,0.258064516129032,0.193548387096774,0.0967741935483871,0,-0.21691973628848,-19.5005421435293,0.538461538461538
96mo,Money and Credit,UV,0.384615384615385,0.153846153846154,0.461538461538462,0.307692307692308,1,0.308697055046547,36.1649803077755,0.35
96mo,Money and Credit,CV,0.230769230769231,0.230769230769231,0.538461538461538,0.384615384615385,2,0.314965444164078,37.0211961319185,0.37037037037037
96mo,Orders and Inventories,UV,0.5,0,0.5,0.25,1,-0.32286054841068,-27.5925179287672,0.642857142857143
96mo,Orders and Inventories,CV,0.625,0.25,0.125,0.125,0,-0.170800049029973,-15.7009886687914,0.666666666666667
96mo,Output and Income,UV,0.6875,0.25,0.0625,0,0,-0.400140578653029,-32.9774180030289,0.666666666666667
96mo,Output and Income,CV,0.6875,0.0625,0.25,0.0625,0,0.123829167127961,13.1822501994101,0.416666666666667
96mo,Prices,UV,0.15,0.2,0.65,0.25,2,0.429957100805422,53.7191577853181,0.395348837209302
96mo,Prices,CV,0.15,0.2,0.65,0.5,2.5,0.411892632313141,50.9672337600015,0.30952380952381
72mo,Housing / Construction,UV,0.1,0,0.9,0.9,5,-0.486202069197372,-38.5042469216941,0.577777777777778
72mo,Housing / Construction,CV,0.3,0.2,0.5,0.2,1.5,0.277278933144544,31.9534381581791,0.357142857142857
72mo,Interest and Exchange Rates,UV,0,0.0952380952380952,0.904761904761905,0.80952380952381,5,0.0506247709272225,5.19281052123077,0.49438202247191
72mo,Interest and Exchange Rates,CV,0,0.0476190476190476,0.952380952380952,0.904761904761905,5,-0.222160292071987,-19.9213005759947,0.529411764705882
72mo,Labor Market,UV,0.548387096774194,0.32258064516129,0.129032258064516,0.0645161290322581,0,-0.372436567370652,-31.0946641362062,0.590909090909091
72mo,Labor Market,CV,0.548387096774194,0.258064516129032,0.193548387096774,0.0967741935483871,0,-0.21691973628848,-19.5005421435293,0.538461538461538
72mo,Money and Credit,UV,0.384615384615385,0.153846153846154,0.461538461538462,0.307692307692308,1,0.308697055046547,36.1649803077755,0.35
72mo,Money and Credit,CV,0.230769230769231,0.230769230769231,0.538461538461538,0.384615384615385,2,0.314965444164078,37.0211961319185,0.37037037037037
72mo,Orders and Inventories,UV,0.5,0,0.5,0.25,1,-0.32286054841068,-27.5925179287672,0.642857142857143
72mo,Orders and Inventories,CV,0.625,0.25,0.125,0.125,0,-0.170800049029973,-15.7009886687914,0.666666666666667
72mo,Output and Income,UV,0.6875,0.25,0.0625,0,0,-0.400140578653029,-32.9774180030289,0.666666666666667
72mo,Output and Income,CV,0.6875,0.0625,0.25,0.0625,0,0.123829167127961,13.1822501994101,0.416666666666667
72mo,Prices,UV,0.15,0.2,0.65,0.25,2,0.429957100805422,53.7191577853181,0.395348837209302
72mo,Prices,CV,0.15,0.2,0.65,0.5,2.5,0.411892632313141,50.9672337600015,0.30952380952381
