series_name,fred_group,is_nominal,tcode,include_main,n_obs,adf_lag_bic,adf_stat,adf_pval,adf_reject_unit_root,kpss_lag_nw,kpss_stat,kpss_reject_stationarity,status
RPI,Output and Income,0,5,1,802,10,-3.46874691567476,0.001,1,7,0.595548003994546,1,ambiguous
W875RX1,Output and Income,0,5,1,802,-1,-24.3790874696069,0.001,1,7,0.607285285891327,1,ambiguous
DPCERA3M086SBEA,Orders and Inventories,0,5,1,802,-1,-25.4171332148446,0.001,1,7,0.472690339830828,1,ambiguous
CMRMTSPLx,Orders and Inventories,0,5,1,801,-1,-31.3976177486608,0.001,1,7,0.191816935061767,0,OK
RETAILx,Orders and Inventories,0,5,1,802,-1,-28.6134728091076,0.001,1,7,0.573486379126604,1,ambiguous
INDPRO,Output and Income,0,5,1,803,-1,-20.5280487851452,0.001,1,7,0.634808005938864,1,ambiguous
IPFPNSS,Output and Income,0,5,1,803,-1,-22.6200721229851,0.001,1,7,1.14624614279924,1,ambiguous
IPFINAL,Output and Income,0,5,1,803,-1,-23.8836069171391,0.001,1,7,1.17905161230568,1,ambiguous
IPCONGD,Output and Income,0,5,1,803,-1,-25.9182321160438,0.001,1,7,1.31933247054311,1,ambiguous
IPDCONGD,Output and Income,0,5,1,803,0,-23.8580071309197,0.001,1,7,0.245790393752653,0,OK
IPNCONGD,Output and Income,0,5,1,803,-1,-32.7228045275931,0.001,1,7,2.68206250885253,1,ambiguous
IPBUSEQ,Output and Income,0,5,1,803,-1,-22.9802225376763,0.001,1,7,0.570559159845049,1,ambiguous
IPMAT,Output and Income,0,5,1,803,8,-6.90930573590521,0.001,1,7,0.259328065940538,0,OK
IPDMAT,Output and Income,0,5,1,803,8,-7.13409679423214,0.001,1,7,0.155370088905063,0,OK
IPNMAT,Output and Income,0,5,1,803,1,-13.0546893076395,0.001,1,7,1.2333247131309,1,ambiguous
IPMANSICS,Output and Income,0,5,1,803,-1,-21.1484786683544,0.001,1,7,0.671208927701618,1,ambiguous
IPB51222S,Output and Income,0,5,1,803,0,-28.9978500209791,0.001,1,7,0.621500171804581,1,ambiguous
IPFUELS,Output and Income,0,5,1,803,-1,-31.1557475395102,0.001,1,7,0.174412034884768,0,OK
CUMFNS,Output and Income,0,2,1,803,9,-7.69049789247912,0.001,1,7,0.0202443237967014,0,OK
HWI,Labor Market,0,2,1,802,11,-6.98720346362002,0.001,1,7,0.0421693605998067,0,OK
HWIURATIO,Labor Market,0,2,1,800,-1,-24.978668547151,0.001,1,7,0.0361817261476905,0,OK
CLF16OV,Labor Market,0,5,1,801,-1,-28.0285173850419,0.001,1,7,2.50304740958079,1,ambiguous
CE16OV,Labor Market,0,5,1,801,-1,-27.2137248235587,0.001,1,7,0.445297792179604,0,OK
UNRATE,Labor Market,0,2,1,801,-1,-27.5114577618734,0.001,1,7,0.0292743853029866,0,OK
UEMPMEAN,Labor Market,0,2,1,801,-1,-29.1667089405885,0.001,1,7,0.0636849646064833,0,OK
UEMPLT5,Labor Market,0,5,1,801,2,-20.3429282959521,0.001,1,7,0.118522752992654,0,OK
UEMP5TO14,Labor Market,0,5,1,801,2,-18.063093907288,0.001,1,7,0.0300527710667113,0,OK
UEMP15OV,Labor Market,0,5,1,801,0,-15.1624522770274,0.001,1,7,0.0429554687662307,0,OK
UEMP15T26,Labor Market,0,5,1,801,-1,-25.8281466035012,0.001,1,7,0.0247544894727087,0,OK
UEMP27OV,Labor Market,0,5,1,801,2,-9.02938351601799,0.001,1,7,0.0502729770888458,0,OK
CLAIMSx,Labor Market,0,5,1,803,0,-23.4635943595634,0.001,1,7,0.0252526822814093,0,OK
PAYEMS,Labor Market,0,5,1,803,-1,-25.0833220776192,0.001,1,7,0.68803065483251,1,ambiguous
USGOOD,Labor Market,0,5,1,803,4,-7.17839693714674,0.001,1,7,0.208392311321635,0,OK
CES1021000001,Labor Market,0,5,1,803,-1,-24.974089161664,0.001,1,7,0.0913452379364404,0,OK
USCONS,Labor Market,0,5,1,803,3,-7.70605744001329,0.001,1,7,0.0680211586431536,0,OK
MANEMP,Labor Market,0,5,1,803,1,-11.0794699315774,0.001,1,7,0.412561647716581,0,OK
DMANEMP,Labor Market,0,5,1,803,4,-7.37254638684256,0.001,1,7,0.324435600694486,0,OK
NDMANEMP,Labor Market,0,5,1,803,1,-11.2351228518149,0.001,1,7,0.649333016550621,1,ambiguous
SRVPRD,Labor Market,0,5,1,803,-1,-24.7384406112369,0.001,1,7,1.37987100555607,1,ambiguous
USTPU,Labor Market,0,5,1,803,-1,-24.9302514342502,0.001,1,7,1.15139811303194,1,ambiguous
USWTRADE,Labor Market,0,5,1,803,1,-9.00121893321527,0.001,1,7,1.39929364779217,1,ambiguous
USTRADE,Labor Market,0,5,1,803,-1,-26.5795452925835,0.001,1,7,2.10419433797213,1,ambiguous
USFIRE,Labor Market,0,5,1,803,1,-5.15462360649806,0.001,1,7,3.1734017310175,1,ambiguous
USGOVT,Labor Market,0,5,1,803,-1,-19.9893994541271,0.001,1,7,3.578858959654,1,ambiguous
CES0600000007,Labor Market,0,1,1,803,1,0.104933649388581,0.690240057166584,0,7,3.4836865251884,1,nonstationary
AWOTMAN,Labor Market,0,2,1,803,-1,-36.3722669315052,0.001,1,7,0.0523677370374708,0,OK
AWHMAN,Labor Market,0,1,1,803,1,0.0819798869819478,0.681831572250546,0,7,3.57418528275679,1,nonstationary
HOUST,Housing / Construction,0,4,1,802,0,-0.202077127019248,0.577775031313542,0,7,1.28914534568602,1,nonstationary
HOUSTNE,Housing / Construction,0,4,1,802,3,-0.507076860651783,0.466044230707759,0,7,5.41322671172843,1,nonstationary
HOUSTMW,Housing / Construction,0,4,1,802,2,-0.502879169816971,0.467582760207764,0,7,3.98713718032812,1,nonstationary
HOUSTS,Housing / Construction,0,4,1,802,1,0.116923346056954,0.694631194213919,0,7,0.268554978402541,0,adf_only
HOUSTW,Housing / Construction,0,4,1,802,1,-0.312571290930669,0.537297642190584,0,7,0.765716796598548,1,nonstationary
PERMIT,Housing / Construction,0,4,1,792,-1,0.051639279360961,0.670708597129985,0,7,0.264294346898771,0,adf_only
PERMITNE,Housing / Construction,0,4,1,792,3,-0.370385784999085,0.516108663280986,0,7,3.74225536358451,1,nonstationary
PERMITMW,Housing / Construction,0,4,1,792,1,-0.179902128793579,0.585888392424163,0,7,2.03704360005698,1,nonstationary
PERMITS,Housing / Construction,0,4,1,792,0,0.389646193699934,0.794526510137896,0,7,1.89308952785662,1,nonstationary
PERMITW,Housing / Construction,0,4,1,792,0,-0.0888211829871713,0.619254104442672,0,7,0.501673038819595,1,nonstationary
ACOGNO,Orders and Inventories,0,5,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
AMDMNOx,Orders and Inventories,0,5,1,802,0,-25.5441334778912,0.001,1,7,0.249136778633858,0,OK
ANDENOx,Orders and Inventories,0,5,1,694,1,-21.1491126447977,0.001,1,7,0.138495534578409,0,OK
AMDMUOx,Orders and Inventories,0,5,1,802,1,-6.2679575720587,0.001,1,7,0.398867166093709,0,OK
BUSINVx,Orders and Inventories,0,5,1,801,1,-5.48614198947869,0.001,1,7,1.11941117981592,1,ambiguous
ISRATIOx,Orders and Inventories,0,2,1,801,-1,-28.6964295486806,0.001,1,7,0.0252751698270187,0,OK
M1SL,Money and Credit,1,6,1,803,5,-18.0660200312643,0.001,1,7,0.00507299693916987,0,OK
M2SL,Money and Credit,1,6,1,803,2,-22.5393159594778,0.001,1,7,0.0075509297147053,0,OK
M2REAL,Money and Credit,1,5,1,801,-1,-11.6615113943524,0.001,1,7,0.158870279165253,0,OK
BOGMBASE,Money and Credit,1,6,1,803,2,-23.6502942835752,0.001,1,7,0.00591460511469181,0,OK
TOTRESNS,Money and Credit,1,6,1,803,3,-20.6559769434473,0.001,1,7,0.004911787210861,0,OK
NONBORRES,Money and Credit,1,7,1,803,11,-14.0709210400817,0.001,1,7,0.00511217048135727,0,OK
BUSLOANS,Money and Credit,1,6,1,803,2,-21.5712144968853,0.001,1,7,0.00758184326354169,0,OK
REALLN,Money and Credit,1,6,1,803,3,-20.6421422220726,0.001,1,7,0.00816816475862971,0,OK
NONREVSL,Money and Credit,1,6,1,802,2,-23.1690601248296,0.001,1,7,0.0067723129160869,0,OK
CONSPI,Money and Credit,1,2,1,802,11,-5.43033942630663,0.001,1,7,0.174068301036129,0,OK
S&P 500,Stock Market,1,5,1,803,-1,-22.0473000210528,0.001,1,7,0.141140457724054,0,OK
S&P div yield,Stock Market,1,2,1,802,-1,-21.5806847394364,0.001,1,7,0.0661205251972079,0,OK
S&P PE ratio,Stock Market,1,5,1,800,-1,-16.4339444242035,0.001,1,7,0.0399388688452473,0,OK
FEDFUNDS,Interest and Exchange Rates,1,2,1,803,11,-6.84930664470565,0.001,1,7,0.0623757911409092,0,OK
CP3Mx,Interest and Exchange Rates,1,2,1,801,11,-7.09499450321845,0.001,1,7,0.0585637377935183,0,OK
TB3MS,Interest and Exchange Rates,1,2,1,803,11,-6.84605399416562,0.001,1,7,0.0668588225222231,0,OK
TB6MS,Interest and Exchange Rates,1,2,1,803,6,-9.27611952038301,0.001,1,7,0.0687908731870273,0,OK
GS1,Interest and Exchange Rates,1,2,1,803,10,-7.64382467207527,0.001,1,7,0.0720942179852359,0,OK
GS5,Interest and Exchange Rates,1,2,1,803,0,-20.5754690504073,0.001,1,7,0.112646153363361,0,OK
GS10,Interest and Exchange Rates,1,2,1,803,0,-20.6168816146637,0.001,1,7,0.143756428927493,0,OK
AAA,Interest and Exchange Rates,1,2,1,803,0,-20.7941378176714,0.001,1,7,0.223524846507101,0,OK
BAA,Interest and Exchange Rates,1,2,1,803,0,-18.2561084569158,0.001,1,7,0.214090467246358,0,OK
COMPAPFFx,Interest and Exchange Rates,1,1,1,802,3,-4.76955994516306,0.001,1,7,0.705835141523156,1,ambiguous
TB3SMFFM,Interest and Exchange Rates,1,1,1,803,3,-3.74031899909513,0.001,1,7,1.67392091793823,1,ambiguous
TB6SMFFM,Interest and Exchange Rates,1,1,1,803,3,-4.25611575954651,0.001,1,7,1.01729732461778,1,ambiguous
T1YFFM,Interest and Exchange Rates,1,1,1,803,3,-5.36976388539267,0.001,1,7,0.130695713493754,0,OK
T5YFFM,Interest and Exchange Rates,1,1,1,803,3,-4.02824049185132,0.001,1,7,0.290111398214477,0,OK
T10YFFM,Interest and Exchange Rates,1,1,1,803,3,-3.4797582788662,0.001,1,7,0.685139499754117,1,ambiguous
AAAFFM,Interest and Exchange Rates,1,1,1,803,3,-2.4686777876747,0.0134585735607329,1,7,1.87321896761995,1,ambiguous
BAAFFM,Interest and Exchange Rates,1,1,1,803,1,-2.29428756246951,0.0212396909852816,1,7,1.7672169992536,1,ambiguous
TWEXAFEGSMTHx,Interest and Exchange Rates,1,5,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
EXSZUSx,Interest and Exchange Rates,1,5,1,803,-1,-21.4150356062326,0.001,1,7,0.0534026809636907,0,OK
EXJPUSx,Interest and Exchange Rates,1,5,1,803,-1,-20.2555715182134,0.001,1,7,0.296171399914104,0,OK
EXUSUKx,Interest and Exchange Rates,1,5,1,803,-1,-20.0055130756268,0.001,1,7,0.0430111820438365,0,OK
EXCAUSx,Interest and Exchange Rates,1,5,1,803,-1,-21.707803234158,0.001,1,7,0.0686887080751314,0,OK
WPSFD49207,Prices,1,6,1,803,4,-20.7349819321118,0.001,1,7,0.0111048497244029,0,OK
WPSFD49502,Prices,1,6,1,803,4,-20.9572575234097,0.001,1,7,0.0145266248404358,0,OK
WPSID61,Prices,1,6,1,803,0,-29.0281635915365,0.001,1,7,0.00581476939382196,0,OK
WPSID62,Prices,1,6,1,803,4,-19.0650016451196,0.001,1,7,0.00524437883589229,0,OK
OILPRICEx,Prices,1,6,1,803,6,-17.6821261968628,0.001,1,7,0.00519140657117998,0,OK
PPICMM,Prices,1,6,1,803,2,-22.8840049065188,0.001,1,7,0.00479275274008878,0,OK
CPIAUCSL,Prices,1,6,1,800,3,-20.1514103228751,0.001,1,7,0.013901631068355,0,OK
CPIAPPSL,Prices,1,6,1,800,3,-24.9687749522978,0.001,1,7,0.00760503644353065,0,OK
CPITRNSL,Prices,1,6,1,800,7,-17.5811551104094,0.001,1,7,0.00519334713544728,0,OK
CPIMEDSL,Prices,1,6,1,800,2,-23.7439149206402,0.001,1,7,0.010820558799392,0,OK
CUSR0000SAC,Prices,1,6,1,800,4,-19.323091756544,0.001,1,7,0.00688133521157599,0,OK
CUSR0000SAD,Prices,1,6,1,800,4,-20.7881769554654,0.001,1,7,0.0106877401388139,0,OK
CUSR0000SAS,Prices,1,6,1,800,4,-19.3174656016059,0.001,1,7,0.00975003827093313,0,OK
CPIULFSL,Prices,1,6,1,800,4,-19.136461899861,0.001,1,7,0.0109919252139113,0,OK
CUSR0000SA0L2,Prices,1,6,1,800,4,-19.4505427410941,0.001,1,7,0.00840630473506924,0,OK
CUSR0000SA0L5,Prices,1,6,1,800,3,-20.3101974281858,0.001,1,7,0.0117107525745124,0,OK
PCEPI,Prices,1,6,1,802,3,-20.3346254230652,0.001,1,7,0.0124871507933077,0,OK
DDURRG3M086SBEA,Prices,1,6,1,802,3,-20.7929342506629,0.001,1,7,0.0165617114172959,0,OK
DNDGRG3M086SBEA,Prices,1,6,1,802,4,-19.537078719264,0.001,1,7,0.00597671732827538,0,OK
DSERRG3M086SBEA,Prices,1,6,1,802,3,-21.803743057995,0.001,1,7,0.0184087288164556,0,OK
CES0600000008,Labor Market,0,6,1,803,5,-19.4342646843547,0.001,1,7,0.00840929173279491,0,OK
CES2000000008,Labor Market,0,6,1,803,11,-13.3710355602092,0.001,1,7,0.00554529451800043,0,OK
CES3000000008,Labor Market,0,6,1,803,8,-16.261671438619,0.001,1,7,0.00709782523819119,0,OK
UMCSENTx,Orders and Inventories,0,2,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
DTCOLNVHFNM,Money and Credit,1,6,1,802,9,-17.0124419804618,0.001,1,7,0.00562127680388433,0,OK
DTCTHFNM,Money and Credit,1,6,1,802,3,-21.2473572421779,0.001,1,7,0.0056176081057548,0,OK
INVEST,Money and Credit,1,6,1,803,1,-25.6323038699108,0.001,1,7,0.00815014899686105,0,OK
VIXCLSx,Stock Market,1,1,1,763,7,-1.30628753782024,0.177178475861658,0,7,0.431536107864638,0,adf_only
