series_name,fred_group,is_nominal,tcode,include_main,n_obs,adf_lag_bic,adf_stat,adf_pval,adf_reject_unit_root,kpss_lag_nw,kpss_stat,kpss_reject_stationarity,status
RPI,Output and Income,0,5,1,490,3,-4.30306718345709,0.001,1,6,0.400335078116077,0,OK
W875RX1,Output and Income,0,5,1,490,3,-4.32873025438913,0.001,1,6,0.244301045529636,0,OK
DPCERA3M086SBEA,Orders and Inventories,0,5,1,490,6,-2.83804333822134,0.00474658117947363,1,6,0.152763971313396,0,OK
CMRMTSPLx,Orders and Inventories,0,5,1,490,1,-9.50478831095351,0.001,1,6,0.074459866775681,0,OK
RETAILx,Orders and Inventories,0,5,1,490,1,-9.20657197300942,0.001,1,6,0.239530368881753,0,OK
INDPRO,Output and Income,0,5,1,490,-1,-13.887132386663,0.001,1,6,0.139522875696071,0,OK
IPFPNSS,Output and Income,0,5,1,490,1,-7.92200654933934,0.001,1,6,0.160686508863569,0,OK
IPFINAL,Output and Income,0,5,1,490,1,-8.64037919266199,0.001,1,6,0.1821069216547,0,OK
IPCONGD,Output and Income,0,5,1,490,-1,-20.5677783914512,0.001,1,6,0.290831028098898,0,OK
IPDCONGD,Output and Income,0,5,1,490,-1,-20.564126759381,0.001,1,6,0.0870474993003504,0,OK
IPNCONGD,Output and Income,0,5,1,490,-1,-24.7521079781562,0.001,1,6,0.756172628137956,1,ambiguous
IPBUSEQ,Output and Income,0,5,1,490,1,-6.95058552011135,0.001,1,6,0.0811378646946166,0,OK
IPMAT,Output and Income,0,5,1,490,8,-5.64143276022836,0.001,1,6,0.119833009350313,0,OK
IPDMAT,Output and Income,0,5,1,490,8,-5.2484442284739,0.001,1,6,0.193115612518153,0,OK
IPNMAT,Output and Income,0,5,1,490,0,-10.3835070563846,0.001,1,6,0.549156850593402,1,ambiguous
IPMANSICS,Output and Income,0,5,1,490,-1,-14.0283443064999,0.001,1,6,0.104140762154392,0,OK
IPB51222S,Output and Income,0,5,1,490,0,-21.9425257697142,0.001,1,6,0.655512074242919,1,ambiguous
IPFUELS,Output and Income,0,5,1,490,-1,-25.0683674369429,0.001,1,6,0.212319628357443,0,OK
CUMFNS,Output and Income,0,2,1,490,11,-5.8523600388244,0.001,1,6,0.0332801920774433,0,OK
HWI,Labor Market,0,2,1,490,11,-4.99229634003873,0.001,1,6,0.0604415338275398,0,OK
HWIURATIO,Labor Market,0,2,1,490,1,-8.27212828439598,0.001,1,6,0.087678727870924,0,OK
CLF16OV,Labor Market,0,5,1,490,5,-3.44384175399491,0.001,1,6,0.88347897210749,1,ambiguous
CE16OV,Labor Market,0,5,1,490,2,-5.70439691596797,0.001,1,6,0.135758029878051,0,OK
UNRATE,Labor Market,0,2,1,490,2,-7.05729049823661,0.001,1,6,0.117116887324615,0,OK
UEMPMEAN,Labor Market,0,2,1,490,2,-7.97722692144662,0.001,1,6,0.0882348963505876,0,OK
UEMPLT5,Labor Market,0,5,1,490,-1,-34.8098983207995,0.001,1,6,0.200267468930222,0,OK
UEMP5TO14,Labor Market,0,5,1,490,0,-16.4420518795638,0.001,1,6,0.141313629570725,0,OK
