Sector,Window,Measure,N,Share_0Breaks_pct,Share_1Break_pct,Share_2plus_pct,Median_Breaks,Median_LogSigmaRatio,Share_Moderating_pct
Output and Income,1959:03-1999:12,UV,16,25,56.25,18.75,1,-0.450725470713084,81.25
Output and Income,1959:03-1999:12,CV,16,31.25,43.75,25,1,-0.402830134791641,75
Output and Income,1959:03-2007:12,UV,16,25,50,25,1,-0.456059855033791,78.9473684210526
Output and Income,1959:03-2007:12,CV,16,18.75,56.25,25,1,-0.376758646004832,78.9473684210526
Output and Income,1959:03-2026:01,UV,16,68.75,25,6.25,0,-0.400140578653029,66.6666666666667
Output and Income,1959:03-2026:01,CV,16,68.75,6.25,25,0,0.355194021627688,41.6666666666667
Labor Market,1959:03-1999:12,UV,31,6.45161290322581,45.1612903225806,48.3870967741935,1,-0.361507376635657,70.1754385964912
Labor Market,1959:03-1999:12,CV,31,3.2258064516129,64.5161290322581,32.258064516129,1,-0.423492037559828,83.3333333333333
Labor Market,1959:03-2007:12,UV,31,12.9032258064516,41.9354838709677,45.1612903225806,1,-0.386045993533032,69.0909090909091
Labor Market,1959:03-2007:12,CV,31,9.67741935483871,48.3870967741935,41.9354838709677,1,-0.358805563340541,77.7777777777778
Labor Market,1959:03-2026:01,UV,31,54.8387096774194,32.258064516129,12.9032258064516,0,-0.38943357791847,56.5217391304348
Labor Market,1959:03-2026:01,CV,31,54.8387096774194,25.8064516129032,19.3548387096774,0,-0.301376890903759,51.8518518518518
Orders and Inventories,1959:03-1999:12,UV,7,14.2857142857143,57.1428571428571,28.5714285714286,1,-0.428961992670458,88.8888888888889
Orders and Inventories,1959:03-1999:12,CV,7,28.5714285714286,71.4285714285714,0,1,-0.426068539994262,100
Orders and Inventories,1959:03-2007:12,UV,8,12.5,50,37.5,1,-0.345169863169742,76.9230769230769
Orders and Inventories,1959:03-2007:12,CV,8,37.5,37.5,25,1,-0.399359909756821,71.4285714285714
Orders and Inventories,1959:03-2026:01,UV,8,50,0,50,1,-0.3434914789848,57.1428571428571
Orders and Inventories,1959:03-2026:01,CV,8,62.5,25,12.5,0,-0.261431300490682,66.6666666666667
Housing / Construction,1959:03-1999:12,UV,10,20,0,80,4,-0.122706240058389,50
Housing / Construction,1959:03-1999:12,CV,10,10,60,30,1,-0.342900875452909,69.2307692307692
Housing / Construction,1959:03-2007:12,UV,10,20,20,60,3,0.449342591368643,48.1481481481481
Housing / Construction,1959:03-2007:12,CV,10,10,40,50,1.5,-0.266241742337512,75
Housing / Construction,1959:03-2026:01,UV,10,10,0,90,5,-0.413775518102555,57.7777777777778
Housing / Construction,1959:03-2026:01,CV,10,30,20,50,1.5,0.320713215183522,35.7142857142857
Prices,1959:03-1999:12,UV,20,20,45,35,1,-0.250796894031072,58.6206896551724
Prices,1959:03-1999:12,CV,20,15,20,65,2,-0.209871591633353,52.5
Prices,1959:03-2007:12,UV,20,10,35,55,2,0.54245876797055,32.3529411764706
Prices,1959:03-2007:12,CV,20,15,15,70,2,0.42653686214099,35.7142857142857
Prices,1959:03-2026:01,UV,20,15,20,65,2,0.46828036919399,39.5348837209302
Prices,1959:03-2026:01,CV,20,15,20,65,2.5,0.460012310671694,33.3333333333333
Money and Credit,1959:03-1999:12,UV,13,30.7692307692308,23.0769230769231,46.1538461538462,1,0.276882458587929,27.7777777777778
Money and Credit,1959:03-1999:12,CV,13,30.7692307692308,30.7692307692308,38.4615384615385,1,0.410579734945785,35.2941176470588
Money and Credit,1959:03-2007:12,UV,13,23.0769230769231,15.3846153846154,61.5384615384615,2,0.414117171009027,14.2857142857143
Money and Credit,1959:03-2007:12,CV,13,30.7692307692308,23.0769230769231,46.1538461538462,1,0.539046191179371,21.0526315789474
Money and Credit,1959:03-2026:01,UV,13,38.4615384615385,15.3846153846154,46.1538461538462,1,0.443179342822685,31.8181818181818
Money and Credit,1959:03-2026:01,CV,13,23.0769230769231,23.0769230769231,53.8461538461538,2,0.299954372616185,28.5714285714286
Interest and Exchange Rates,1959:03-1999:12,UV,21,0,9.52380952380952,90.4761904761905,4,0.148908776143559,50
Interest and Exchange Rates,1959:03-1999:12,CV,21,0,9.52380952380952,90.4761904761905,5,-0.144976170874826,51.8072289156627
Interest and Exchange Rates,1959:03-2007:12,UV,21,0,0,100,5,0.0984692838235935,49.4252873563218
Interest and Exchange Rates,1959:03-2007:12,CV,21,0,0,100,5,-0.197816372915768,55.2941176470588
Interest and Exchange Rates,1959:03-2026:01,UV,21,0,9.52380952380952,90.4761904761905,5,0.200436963990669,48.8888888888889
Interest and Exchange Rates,1959:03-2026:01,CV,21,0,4.76190476190476,95.2380952380952,5,-0.248438222222165,55.6818181818182
