measure,sector,window,n_series,n_with_breaks,pct_0b,pct_1b,pct_2p,pct_abrupt,pct_all_abrupt,median_gamma
UV,Output and Income,Historical,16,12,0.25,0.5625,0.1875,0.8125,0.75,100
UV,Output and Income,Pre-GFC,16,12,0.25,0.5,0.25,0.842105263157895,0.75,100
UV,Output and Income,Full Sample,16,5,0.6875,0.25,0.0625,0.5,0.4,55
UV,Labor Market,Historical,31,29,0.0645161290322581,0.451612903225806,0.483870967741935,0.929824561403509,0.862068965517241,100
UV,Labor Market,Pre-GFC,31,27,0.129032258064516,0.419354838709677,0.451612903225806,0.913793103448276,0.814814814814815,100
UV,Labor Market,Full Sample,31,14,0.548387096774194,0.32258064516129,0.129032258064516,0.884615384615385,0.785714285714286,100
UV,Orders and Inventories,Historical,7,6,0.142857142857143,0.571428571428571,0.285714285714286,1.0,1.0,100
UV,Orders and Inventories,Pre-GFC,8,7,0.125,0.5,0.375,1.0,1.0,100
UV,Orders and Inventories,Full Sample,8,4,0.5,0.0,0.5,0.882352941176471,0.5,100
UV,Housing / Construction,Historical,10,8,0.2,0.0,0.8,0.96875,0.875,100
UV,Housing / Construction,Pre-GFC,10,8,0.2,0.2,0.6,0.933333333333333,0.75,100
UV,Housing / Construction,Full Sample,10,9,0.1,0.0,0.9,0.873239436619718,0.222222222222222,100
UV,Prices,Historical,20,16,0.2,0.45,0.35,0.933333333333333,0.875,100
UV,Prices,Pre-GFC,20,18,0.1,0.35,0.55,1.0,1.0,100
UV,Prices,Full Sample,20,17,0.15,0.2,0.65,0.955555555555556,0.882352941176471,100
UV,Money and Credit,Historical,13,9,0.307692307692308,0.230769230769231,0.461538461538462,0.9,0.777777777777778,100
UV,Money and Credit,Pre-GFC,13,10,0.230769230769231,0.153846153846154,0.615384615384615,0.857142857142857,0.7,100
UV,Money and Credit,Full Sample,13,8,0.384615384615385,0.153846153846154,0.461538461538462,0.91304347826087,0.75,100
UV,Interest and Exchange Rates,Historical,21,21,0.0,0.0952380952380952,0.904761904761905,0.934065934065934,0.714285714285714,100
UV,Interest and Exchange Rates,Pre-GFC,21,21,0.0,0.0,1.0,0.936936936936937,0.666666666666667,100
UV,Interest and Exchange Rates,Full Sample,21,21,0.0,0.0952380952380952,0.904761904761905,0.916030534351145,0.571428571428571,100
CV,Output and Income,Historical,16,11,0.3125,0.4375,0.25,1.0,1.0,100
CV,Output and Income,Pre-GFC,16,13,0.1875,0.5625,0.25,0.947368421052632,0.923076923076923,100
CV,Output and Income,Full Sample,16,5,0.6875,0.0625,0.25,0.928571428571429,0.8,100
CV,Labor Market,Historical,31,30,0.032258064516129,0.645161290322581,0.32258064516129,0.785714285714286,0.7,100
CV,Labor Market,Pre-GFC,31,28,0.0967741935483871,0.483870967741935,0.419354838709677,0.844444444444444,0.785714285714286,100
CV,Labor Market,Full Sample,31,14,0.548387096774194,0.258064516129032,0.193548387096774,0.9,0.785714285714286,100
CV,Orders and Inventories,Historical,7,5,0.285714285714286,0.714285714285714,0.0,0.8,0.8,100
CV,Orders and Inventories,Pre-GFC,8,5,0.375,0.375,0.25,0.857142857142857,0.8,100
CV,Orders and Inventories,Full Sample,8,3,0.625,0.25,0.125,0.833333333333333,0.666666666666667,100
CV,Housing / Construction,Historical,10,9,0.1,0.6,0.3,0.923076923076923,0.888888888888889,100
CV,Housing / Construction,Pre-GFC,10,9,0.1,0.4,0.5,0.9375,0.888888888888889,100
CV,Housing / Construction,Full Sample,10,7,0.3,0.2,0.5,0.928571428571429,0.857142857142857,100
CV,Prices,Historical,20,17,0.15,0.2,0.65,0.85,0.647058823529412,100
CV,Prices,Pre-GFC,20,17,0.15,0.15,0.7,0.785714285714286,0.588235294117647,100
CV,Prices,Full Sample,20,17,0.15,0.2,0.65,1.0,1.0,100
CV,Money and Credit,Historical,13,9,0.307692307692308,0.307692307692308,0.384615384615385,0.941176470588235,0.888888888888889,100
CV,Money and Credit,Pre-GFC,13,9,0.307692307692308,0.230769230769231,0.461538461538462,0.947368421052632,0.888888888888889,100
CV,Money and Credit,Full Sample,13,10,0.230769230769231,0.230769230769231,0.538461538461538,0.931034482758621,0.8,100
CV,Interest and Exchange Rates,Historical,21,21,0.0,0.0952380952380952,0.904761904761905,0.970588235294118,0.857142857142857,100
CV,Interest and Exchange Rates,Pre-GFC,21,21,0.0,0.0,1.0,0.961538461538462,0.80952380952381,100
CV,Interest and Exchange Rates,Full Sample,21,21,0.0,0.0476190476190476,0.952380952380952,0.949152542372881,0.714285714285714,100
