series_name,include_main_2007,uv2007_nobs,uv2007_mean_pre84,uv2007_mean_post84,uv2007_ratio_post_pre84,uv2007_pct_change_post84,uv2007_break_found,uv2007_break_date,uv2007_mu1,uv2007_mu2,uv2007_delta,uv2007_ratio_break,uv2007_pct_change_break,uv2007_ssr_nobreak,uv2007_ssr_best,uv2007_ssr_gain_pct,uv2007_supw_found,uv2007_supw_stat,uv2007_supw_hac_lag,uv2007_supw_break_date,uv2007_supw_mu1,uv2007_supw_mu2,uv2007_supw_ratio,uv2007_supw_pct_change,uv2007_hansen_pval,uv2007_hansen_sig5
RPI,1,586,0.00385386475713746,0.00367837984109271,0.954465211650266,-4.55347883497336,1,01-Jan-1994,0.00400967142486131,0.00316031595715436,-0.000849355467706951,0.788173299577451,-21.1826700422549,0.0129723592485767,0.0128862178632363,0.66403792625345,1,2.60126301158133,5,01-Jan-1994,0.00400967142486131,0.00316031595715436,0.788173299577451,-21.1826700422549,0.645126254127287,0
W875RX1,1,586,0.00374375570601987,0.00418092440692887,1.1167727638334,11.67727638334,1,01-Jun-1972,0.00319804842742968,0.0042442668572786,0.00104621842984892,1.32714277272211,32.7142772722106,0.0146910178167944,0.0145637036600001,0.866612227838564,1,5.88968203336903,5,01-Jun-1972,0.00319804842742968,0.0042442668572786,1.32714277272211,32.7142772722108,0.170521953045158,0
DPCERA3M086SBEA,1,586,0.00580827179924616,0.00446030015308175,0.7679220785881,-23.20779214119,1,01-Feb-1987,0.00617396516426616,0.00376391658027789,-0.00241004858398826,0.609643313516376,-39.0356686483624,0.0130520879409035,0.0122194939632867,6.37900986713057,1,33.107257651556,5,01-Jan-1992,0.00594080602862372,0.00350163905212845,0.589421542339039,-41.0578457660962,3.58487161622456e-07,1
CMRMTSPLx,1,586,0.0134700425653204,0.00845256558757629,0.627508454155745,-37.2491545844255,1,01-Aug-1966,0.0191837037315856,0.00951991580210634,-0.00966378792947928,0.496250147276408,-50.3749852723592,0.0550766213632768,0.0479624986591895,12.9167739922964,1,37.6516410836943,5,01-Aug-1966,0.0191837037315855,0.00951991580210636,0.496250147276412,-50.3749852723588,3.75960524934271e-08,1
RETAILx,1,586,0.012181338071986,0.0100266989459491,0.823119667699557,-17.6880332300443,1,01-Feb-1987,0.0128360400752329,0.00881927430642758,-0.00401676576880532,0.687071266117683,-31.2928733882317,0.0714398775192507,0.0691270955938556,3.23738226562861,1,13.637829048933,5,01-Jan-1987,0.0127117360678652,0.00900118111215262,0.708100063130422,-29.1899936869578,0.00481152915582361,1
INDPRO,1,586,0.00913347494353695,0.00495417785392356,0.542419822088552,-45.7580177911448,1,01-Jan-1984,0.00917490952942616,0.00489644880071629,-0.00427846072870987,0.533678156172787,-46.6321843827213,0.0299891372984097,0.0273085462122135,8.93854017714049,1,31.7196271836473,5,01-Jan-1984,0.00917490952942617,0.00489644880071629,0.533678156172787,-46.6321843827213,7.12498292587682e-07,1
IPFPNSS,1,586,0.00811579791438844,0.00531644781018967,0.655073951602981,-34.4926048397019,1,01-Sep-1983,0.00818254653727155,0.00527764095988754,-0.00290490557738401,0.644987588625112,-35.5012411374888,0.0210112837849515,0.0197751045908929,5.88340630068484,1,22.6118272365047,5,01-Jan-1984,0.00815748639773074,0.00526326242125746,0.64520639871635,-35.479360128365,6.29568922884127e-05,1
IPFINAL,1,586,0.00855090361271066,0.00613236772142611,0.717160197234655,-28.2839802765345,1,01-Jan-1984,0.00859640040236668,0.00607654167265108,-0.00251985872971559,0.706870479297143,-29.3129520702857,0.0248413988547018,0.0239115596433282,3.74310326408059,1,15.0572578480263,5,01-Jan-2000,0.007687788106317,0.00567986547533524,0.738816600664128,-26.1183399335872,0.00244426023472133,1
IPCONGD,1,586,0.00948527933421725,0.0068076383162357,0.717705623246938,-28.2294376753062,1,01-Sep-1975,0.0103224633808257,0.0070621262632773,-0.00326033711754838,0.684151253701266,-31.5848746298734,0.0329561022901239,0.0315591182583484,4.238923703651,1,20.2421203875805,5,01-Mar-2000,0.00856214634988289,0.00608682716322968,0.710899687356189,-28.9100312643811,0.000199919235182922,1
IPDCONGD,1,586,0.022043267905124,0.0156343397947012,0.709256897026004,-29.0743102973996,1,01-Feb-1971,0.0252329980649116,0.0168281266408453,-0.0084048714240663,0.666909520523687,-33.3090479476313,0.26620830107053,0.258535582063842,2.88222379836864,1,12.0666006140827,5,01-Aug-1998,0.0200998283133712,0.0137880810362763,0.685980040292377,-31.4019959707623,0.0101252491752707,1
