series_name,include_main_full_ext,uvfull_smooth_found,uvfull_smooth_gamma,uvfull_smooth_midpoint,uvfull_smooth_ssr_gain,uvfull_smooth_ratio,uvfull_smooth_pct_change,uvfull_smooth_abrupt
RPI,1,1,50,01-Nov-2015,2.98188660815685,2.81354762736414,181.354762736414,1
W875RX1,1,1,100,01-Nov-2003,0.725309047544972,1.29908152845839,29.9081528458387,1
DPCERA3M086SBEA,1,1,100,01-Jul-1988,0.969826242468834,0.720777863831885,-27.9222136168115,1
CMRMTSPLx,1,1,20,01-Mar-1969,6.41414435187275,0.466537347508152,-53.3462652491848,1
RETAILx,1,1,100,01-Nov-2015,0.789254343668208,1.37862251751852,37.8622517518519,1
INDPRO,1,1,100,01-Nov-1983,1.89486453390592,0.68696094240089,-31.303905759911,1
IPFPNSS,1,1,100,01-Dec-2015,1.21668999344758,1.44215230904145,44.2152309041451,1
IPFINAL,1,1,100,01-Dec-2015,1.87637525966546,1.5544803333598,55.4480333359805,1
IPCONGD,1,1,100,01-Dec-2015,1.2401531765537,1.3969415926558,39.6941592655801,1
IPDCONGD,1,1,50,01-Dec-2015,2.40265391837727,1.87627797416838,87.6277974168384,1
IPNCONGD,1,1,100,01-Jun-2015,0.522740375077437,1.17191715798724,17.191715798724,1
IPBUSEQ,1,1,50,01-Dec-2015,1.87497185020609,1.60687166228462,60.6871662284616,1
IPMAT,1,1,10,01-Mar-1969,6.20484424086977,0.36136623720435,-63.863376279565,0
IPDMAT,1,1,10,01-Mar-1969,6.49671455202855,0.344223069833706,-65.5776930166294,0
IPNMAT,1,1,100,01-Dec-2015,0.882620597007235,1.35158134958257,35.1581349582568,1
IPMANSICS,1,1,100,01-Sep-1983,1.59582999520527,0.703645264458218,-29.6354735541783,1
IPB51222S,1,1,5,01-Jun-1969,10.9035123179428,-6.10080861324289,-710.080861324289,0
IPFUELS,1,1,100,01-Dec-1986,0.303036850767156,0.884124525653349,-11.5875474346651,1
CUMFNS,1,1,100,01-Oct-1983,2.53298828488251,0.658698314807869,-34.1301685192131,1
HWI,1,1,5,01-Nov-2015,26.7825536643946,8.91103060349409,791.103060349409,0
HWIURATIO,1,1,50,01-Oct-2015,15.013753878336,2.97173106653984,197.173106653984,1
CLF16OV,1,1,10,01-Mar-1969,2.61676979105865,0.532342717268207,-46.7657282731793,0
CE16OV,1,1,50,01-Oct-2015,1.27316659517583,1.93765094652851,93.7650946528506,1
UNRATE,1,1,50,01-Oct-2015,1.46820273120481,2.13559998166716,113.559998166716,1
UEMPMEAN,1,1,20,01-Sep-2013,21.2082215497532,3.50858745232677,250.858745232677,1
UEMPLT5,1,1,50,01-Oct-2015,7.14959375336805,2.59654318363718,159.654318363718,1
UEMP5TO14,1,1,50,01-Oct-2015,4.17684319262267,2.048315898964,104.8315898964,1
UEMP15OV,1,1,100,01-Oct-2015,2.4062298803148,1.54874574099812,54.8745740998119,1
UEMP15T26,1,1,100,01-Oct-2015,2.81659320287508,1.57407618816626,57.4076188166262,1
UEMP27OV,1,1,100,01-Dec-1976,4.07430508443861,0.67732285020477,-32.267714979523,1
CLAIMSx,1,1,100,01-Dec-2015,2.79086223264091,2.29990514103124,129.990514103124,1
PAYEMS,1,1,100,01-Dec-2015,0.607799969929838,1.76379669371362,76.3796693713618,1
USGOOD,1,1,100,01-Apr-1984,2.49193287295473,0.593969443034138,-40.6030556965862,1
CES1021000001,1,1,100,01-Jan-1987,1.9922057162431,0.589186213887014,-41.0813786112986,1
USCONS,1,1,100,01-Apr-1984,5.16276637563428,0.524263076554227,-47.5736923445773,1
MANEMP,1,1,100,01-Apr-1984,3.95944675179151,0.522341388742725,-47.7658611257275,1
DMANEMP,1,1,100,01-Apr-1984,5.44314453570161,0.483463796241635,-51.6536203758365,1
NDMANEMP,1,1,100,01-Aug-1983,0.972135126508745,0.717560241725026,-28.2439758274974,1
SRVPRD,1,1,100,01-Dec-2015,1.16085042059371,2.3380851878155,133.80851878155,1
USTPU,1,1,100,01-Dec-2015,0.993951302106497,1.75948612097483,75.9486120974833,1
USWTRADE,1,1,100,01-Nov-1984,0.570670893108944,0.798632233204822,-20.1367766795178,1
USTRADE,1,1,100,01-Dec-2015,1.34665997343156,1.96162913304965,96.1629133049648,1
